Source,Subcategory,Category,Brief Description,Description
GPT 5.2 Thinking,Response to Feedback,Academic Engagement,using feedback or correction to adjust work and approach,"Response to feedback describes how a student reacts to guidance, correction, and suggestions for improvement. A helpful response includes listening, asking clarifying questions, trying again, and making adjustments over time. Difficulty may show as shutting down, arguing, becoming embarrassed, or ignoring feedback, even when it is delivered supportively."
GPT 5.2 Thinking,Response to Redirection,Behavior Control and Regulation,"adjusting behavior after reminders, cues, or corrections","Response to redirection reflects how a student reacts when an adult provides a reminder or correction about expectations. Strong skills include acknowledging the cue, changing behavior, and returning to learning with minimal disruption. Difficulty may include arguing, escalating, needing multiple prompts, or showing lingering upset that interferes with re-engagement."
GPT 5.2 Thinking,Responsibility for Materials,Independence and Responsibility,keeping track of materials and using belongings responsibly,"Responsibility for materials refers to managing personal and school items (e.g., notebooks, devices, supplies, assignments) and treating them with care. Strong responsibility supports readiness and reduces lost instructional time. Difficulty may be seen in frequent lost items, missing materials, damaged supplies, or needing repeated reminders to bring or return needed items."
FACETS,Responsibility for Self & Others,Interacting with Others,accepting responsibility for actions taken by self or others,"Responsibility is the willingness and ability to appropriately manage or control self, situations and/or the actions of other individuals. The ability to assume responsibility begins with managing one’s own actions, emotions, and cognitions, then gradually expands to being more in control of interactions with others and broader elements of the environment. When faced with new tasks or uncertainty, there may be cautionary over-control followed by fading to a balance between self-control and sharing control with others."
FACETS,Risk Taking,Behavior Control and Regulation,taking chances to achieve goals when faced with possible failure embarrassment or harm,"Risk taking is the ability to overcome the possibility of failure, embarrassment, or harm in order to achieve a specific goal or to acquire a particular want or need. Appropriate risk taking requires a sensible analysis of the balance between outcomes and the possible consequences of a particular action."
Clinical scales,School Attitudes,Academic Engagement,Feelings about school and learning,"The student's overall orientation toward school, including enjoyment, perceived relevance, and sense of belonging"
Clinical scales,School Belonging,Academic Engagement,Connection to school environment,"A student's sense of feeling safe, welcome, and engaged at school—including enjoyment of being there and feeling like they matter to the school community"
Frameworks,school engagement,Developmental Assets (ages 12-18),Young person is actively engaged in learning.,
Frameworks,science,ACT Holistic Framework,"Gathering and interpreting observations, experimental data, and disciplinary content knowledge in order to predict and explain phenomena",
FACETS,Screen Time,General Well-Being,managing screen-based activities including education games entertainment and social media,"“Screens” refers to devices such as computers, television, tablets, e-readers, smartphones, and hand-held video games. Regulation of screen time requires careful planning and coordination as the use of “screens” may play crucial roles in both academic and social life. Screen time has two components: duration and content. While some materials and exposures may be safe and appropriate, other can be quite dangerous."
Frameworks,self awareness,Pratham Life Skills Framework,recognizing strengths and weaknesses identifying emotions self reflection self confidence,
Frameworks,self-acceptance,"Social, Emotional, and Ethical (SEE) Learning Framework","Accept'oneself'and'one’s'emotions'by'understanding'their' context,'allowing'for'a'relaxation'of'self?judgment'",
GPT 5.2 Thinking,Self-Advocacy,Independence and Responsibility,communicating needs and participating in decisions about learning supports,"Self-advocacy is a student’s ability to speak up about needs, preferences, and goals in appropriate ways. This may include requesting accommodations that are already in place, asking for clarification, or expressing when something is not working. Low self-advocacy may appear as silent struggling, relying on others to speak for them, or difficulty describing what kind of help would be useful."
GPT 5.2 Thinking,Self-Compassion,Sense of Self,responding to mistakes with kindness and realistic self-talk,"Self-compassion is the ability to treat oneself kindly when making mistakes or experiencing setbacks. In school, it supports persistence and willingness to try again. Low self-compassion may look like harsh self-criticism, shame, or giving up after small errors; healthy self-compassion allows students to acknowledge mistakes without seeing them as personal failure."
FACETS,Self-Confidence,Sense of Self,assessing one's belief in their ability,Confidence is an individual’s belief in their own ability to take on and succeed at a task or challenge.
FACETS,Self-Control,Behavior Control and Regulation,managing impulses and self-regulating behavior,"Effective social adaptations and goal seeking requires the ability to resist non-productive impulses and distractions that may interfere with achieving a goal. Self-control is the ability to manage the full spectrum of one’s behaviors in order to quickly, flexibly, and effectively adapt as one attempts to meet one’s personal and social needs. This means maintaining control over language, social, and motor behavior, while being sensitive and responsive to other environmental factors such as the behaviors of others who are sharing time and space. Self-control includes the ability to both behave proactively and reactively, as well as to inhibit unnecessary or inappropriate behavior."
Frameworks,self-direction,Building Blocks for Learning,"A process in which learners take the initiative in planning, implementing and evaluating their own learning needs and outcomes, with or without the help of others.",
FACETS,Self-Image,Sense of Self,recognizing one's own strengths and weaknesses,"Self-image is the internal sense of identity. It not only includes objective perception of self, along with wishes and aspirations as well as the notion of how one compares to others. The objective components of self-image include perceptions of how one looks, feels, thinks, and acts, placed in a cultural frame, that includes lessons learned from peers, family members, and the community (e.g., role models, social media, etc.)."
Gemini 3 Pro,Self-Monitoring,Organization & Planning,checking own work and behavior,"Self-monitoring is the executive function skill of observing and evaluating one's own performance and behavior. It involves 'checking in' with oneself to see if the current actions are aligning with the goal (e.g., checking math problems for errors, noticing if one is talking too loudly). Effective self-monitoring allows for self-correction and improved accuracy and social appropriateness."
Frameworks,self-reflection/meta-cognition,OECD,"Awareness of inner processes and subjective experiences, such as thoughts and feelings, and the ability to reflect on and articulate such experiences.",
FACETS,Sensory Reactivity,Behavior Control and Regulation,responding to sensory input including touch taste smell sight hearing and somatic,"There is enormous individual variability in the perception and ability to interpret and respond to sensory input. Sensations typically includes the five senses (e.g., touch, taste, smell, sight, and hearing), however, somatic perceptions (e.g., pain, heart rate, respiratory rate, kinesthetics, etc.) are often sensed quite acutely, and can modulate emotions, cognitions, and behavior. Precision in the identification of sensory inputs and the reaction to them is essential for safe interactions with the environment as well as appropriate social function."
FACETS,Sexual/Gender Identity and Behavior,Sense of Self,expressing age-appropriate sexual identity and behavior,"Sexual behavior includes behaviors that are related to an individual's particular individual “sexual identity.” While there are generally male and female biological differences amongst humans, there exists a broad spectrum of gender-related behaviors that are “assigned” or “learned,” based on cultural and social expectations in a community, not infrequently independent of “sex assigned at birth.” Some behaviors appear to be “assigned,” and are often considered “conventional.” When there are variations that don’t meet social expectations, it can cause discomfort - for children, peers, and/or adults - and can lead to adverse outcomes like bullying, discrimination and social isolation. Examples of these are so-called “effeminate” males or “masculine” females. Most “unconventional” gender behaviors are not abnormal but simply represent the broad variation in expressions of identity."
FACETS,Sleep Disturbance,General Well-Being,evidence of inadequate duration or quality of sleep including drowsiness and persistent lack of energy,"While the precise function of sleep is unknown, sleep appears to be a physiological state in which the brain rests and resets some of its functions. While the brain is engaged in sleep, the remainder of the human body also gets a chance to rest and recover from the physical exertion of the previous day. Sleep may also play a restorative role for physiologic, cognitive, and emotional functioning and wellbeing. Sleep has discrete stages, one of which allows for dreaming. Typically, individuals sleep varying amounts of time, ranging from 4-10 hours, usually, but not necessarily occurring at night. Daytime napping may also be a healthy component of sleep. One goal for sleep is to gain adequate amounts of rest to support ongoing activities during the waking hours. Pre-bedtime and bedtime routines are commonly associated with sleep, and may include social activities (e.g., story telling, prayers, reading, etc.). Sleep difficulties include either inadequate or excessive amounts of sleep, as well as excessive and inappropriate daytime drowsiness."
Frameworks,sociability,ACT Holistic Framework,Seeking out and enjoying situations involving interpersonal interaction and building relationships with others,
Frameworks,social awareness,MESH,"Social Awareness is the ability to take the perspective of and empathize with others from diverse backgrounds and cultures, to understand social and ethical norms for behavior, and to recognize family, school, and community resources and supports.",
Clinical scales,Social Comfort,Social Connections,Ease in social interactions,"How comfortable and at ease a student feels when interacting with peers, adults, and people they don't know well"
FACETS,Social Communication,Interacting with Others,communication enabling social interactions,"Social functioning is the ability to share thoughts, needs, ideas, and behaviors. Social communication includes words and gestures in conjunction with an “invitation” to respond, as well as the willingness to receive and accept social responses. This leads to reciprocity, or “turn-taking,” the repeated exchanges of thoughts, needs, ideas, and behaviors that form the basis of conversation, discussion, collaborative work, and play."
FACETS,Social Cooperation,Interacting with Others,cooperating in social interactions including play,"Cooperation is working together with other individuals, or in groups, to achieve a common goal or objective. This requires effective communication for sharing of thoughts, ideas, and plans, as well as a willingness to be flexible and context sensitive when sharing behaviors and communications."
FACETS,Social Engagement,Interacting with Others,engaging in social behavior,"Social engagement is the combination of intent to form and maintain social interactions combined with the appropriate and flexible application of social speech, cues, gestures, and behaviors (e.g., smiling, visual regard, hand shaking/bowing, etc.). Social engagement directs these behaviors toward individuals or groups, with the goal of establishing and maintaining reciprocal, social transactions and relationships."
Frameworks,social management,EU NESET Framework for Social and Emotional Education,"Students have good relationship skills, being able to establish and maintain healthy and rewarding relationships based on co-operation and collaboration. They resist inappropriate social pressure; constructively prevent, manage and resolve interpersonal conflict; and seek and provide help when needed. They demonstrate ethical behaviour and responsible decision making in the various contexts they operate, considering the needs and rights of others in their behaviour and decisions. More specifically, this content area includes the following competencies. Healthy and rewarding relationships with individuals and groups, appreciating equality and diversity in relationships; Effective communication to express oneself and positive exchanges with others, using both verbal and nonverbal skills; Cooperation and collaboration with others; Leadership skills (motivating others, teamwork, negotiation, decision making); Dealing with peer pressure (refusing to engage in unwanted, unsafe and unethical conduct); Constructive conflict resolution (achieving mutually satisfactory resolutions to conflict by addressing the needs of all concerned); Dealing with negative relationships such as bullying, harassment and violence; Seeking and providing help and support; Ethical and responsible behaviour and decision making (considering ethical standards, safety concerns, and respect for others, and the likely consequences of various courses of action when making decisions); Contributing to the wellbeing and flourishing of the community.",
Clinical scales,Social Skills,Social Relationships,Interacting appropriately,"The student's use of appropriate social behaviors such as sharing, taking turns, conversation skills, and reading social cues."
FACETS,Speech Quality,Expressive Communication,speaking understandably,"Speech is the production of sounds that are most often formed into words which can be linked to form sentences, paragraphs, descriptions, requests, stories, and much more. Using variations in rate, tone, rhythm, volume, clarity, word/sound selection, coordination with non-verbal communication, and other elements of sound production enhance the understandability of the intended communication. Flexible and adaptable speech offers greater possibility that the intended message will be received and properly interpreted by the listener."
FACETS,Speech Quantity,Expressive Communication,speaking with an appropriate number of words for communication,"Language is the full spectrum of communicative behaviors. It includes words, gestures, body posture, facial expression, and a myriad of other behaviors that have communicative intent. This item refers ONLY to spoken language - speech. There is enormous variation in speech quantity that is partly dependent on context (“Is this a time to be quiet or a time to offer to speak up?”) and also depends on the capability of the individual to speak about specific content (“Does the individual know anything about the present topic?” “Are they lacking confidence with respect to that content?”) Or, does the individual have the physical ability to produce speech at all. Thus, the quantity of speech may typically vary depending on context and content, however, individuals with problems related to speech quantity have difficulty regulating the amount of speaking in appropriate response to the context or content."
FACETS,Stress Management,Emotional Expression,managing tension resulting from challenges or demands,"Stress is a feeling of emotional or physical tension that is the body’s reaction to an internal or external challenge or demand. The internal factors can be thoughts, ideas, emotions, or even cognitive and emotional challenges. External factors may include leisure, work, or social demands. The response to stress can be both cognitive-emotional, as well as physiologic. Stress responses are adaptive when they are developmentally and behaviorally appropriate to the intensity, complexity, and duration of the demand or challenge."
Frameworks,striving for accuracy and precision,Habits of Mind,"Embodied in the stamina, grace and elegance of a ballerina or a shoemaker, is the desire for craftsmanship, mastery, flawlessness and economy of energy to produce exceptional results. People who value accuracy, precision and craftsmanship take time to check over their products. They review the rules by which they are to abide; they review the models and visions they are to follow; and they review the criteria they are to employ and confirm that their finish product matches the criteria exactly. To be craftsmanlike means knowing that one can continually perfect one's craft by working to attain the highest possible standards, and pursue ongoing learning in order to bring a laser like focus of energies to task accomplishment. These people take pride in their work and have a desire for accuracy as they take time to check over their work. Craftsmanship includes exactness, precision, accuracy, correctness, faithfulness, and fidelity. For some people, craftsmanship requires continuous reworking. Mario Cuomo, a great speechwriter and politician, once said that his speeches were never done—it was only a deadline that made him stop working on them!",
FACETS,Substance Use,General Well-Being,using inappropriate substances including alcohol tobacco and cannabis,"Substance use is the consumption of chemicals that disrupt cognitive, behavioral, emotional, or other adaptive functioning. The most common substance use is alcohol and nicotine, but can also include a broad variety of substances, including the inappropriate use of prescribed medications. Persistent use of substances that leads to disruption in function is referred to as substance abuse. It is said that for some individuals, the recreational use of some substances may be acceptable, however, it is not clear who can safely use which substances. All evidence suggests that even the most benign of these medications and substances that are used inappropriately can have both short- and long-term disruptions in cognitive, behavioral, emotional, or other adaptive functioning, even modest doses, and may also be associated with significant general health complications. Addiction is a subset of substance abuse that is characterized by habitual, often uncontrollable use of substances, and a “withdrawal syndrome” when the substances are discontinued."
FACETS,Task Completion,Organization & Planning,recognizing beginning structure and end of tasks,"It is typical to spontaneously take on tasks and willingly accept task assignments. Task completion is the ability to appreciate that all tasks have beginnings and ends, while also finding satisfaction in moving to and achieving a goal. Without fear, one recognizes that failure and/or inability to complete the task sometimes occurs. Managing failure and other disruptions is critical to consistent task completion, even in the face of potential disappointment."
Gemini 3 Pro,Task Initiation,Organization & Planning,beginning work promptly after instructions,"Task initiation is the ability to begin a task or activity in a timely manner without undue procrastination or hesitation. It requires the student to overcome inertia, understand the starting point, and generate the necessary energy to commence work. Difficulties in this area often manifest as 'stalling' even when the student has the skills to do the work."
Frameworks,thinking and metacognition,ACT Holistic Framework,Mastering modes of thinking that apply to broad classes of problems,
Clinical scales,Thinking Before Acting,Impulse Control,Pausing to consider consequences,"The tendency to stop and think before speaking or acting, rather than immediately responding to urges or reacting without reflection"
FACETS,Thinking Speed,Organization & Planning,adapting thinking speed to meet situational demands,"The pace of adaptive thinking varies to meet the demands of the task. Multiple factors contribute to the enormous variation in thinking speed as individuals process information, including attention, intellectual ability, interests, familiarity, and memory, as well as environment and practice. It is important to manage thinking speed in order to allocate flexible amounts of time to appropriately address varying problems and challenges. Thinking faster is not always helpful as it may lead to errors, whereas thinking slowly may lead to missed opportunities. Finding successful balance in regulating thinking speed is essential for successful adaptation."
FACETS,Tics and Atypical Movements,Motor Skills,adapting social and other behaviors in response to tics or atypical movements,"Tics (repetitive motor behaviors), as well as disruptions in motor rhythm and coordination fluidity constitute atypical movements. Atypical movements may include fine or gross motor activity, involve very rapid to very slow movements, and have varying size of movements. Tics may involve facial muscles (e.g., twitching), trunk and limb muscle movements (e.g., head and shoulder shrugging), as well vocal tics (i.e., respiratory and laryngeal muscle movements yielding either sounds or words.) Atypical movements often make affected individuals feel sad, embarrassed, frustrated, and anxious; they often become victims of mockery, shaming, and bullying."
FACETS,Toileting Problems,General Well-Being,managing toileting behaviors and routines,"Managing toileting and hygiene is a basic social and behavioral skill that is essential for successful adaptive function. It includes self-management of excretions, as well as cleaning oneself. Intrinsic to managing toileting and hygiene, is a personal understanding of one’s own daily rhythms and the extent to which one can control them, in the context of other environmental events (e.g., school/work, leisure, sleep, meals etc.). Therefore successful toileting and hygiene includes proper scheduling and the use of socially-appropriate behaviors to complete toileting and hygiene tasks."
FACETS,Tolerance,Interacting with Others,responding appropriately to differences in cultures and belief systems,"Tolerance is the willingness and ability to thoughtfully and fairly judge values and belief systems. This includes treating fairly, and with respect and courtesy, those with varied abilities and identities, as well as those from different cultures, values, and beliefs."
FACETS,Transitions,Behavior Control and Regulation,transitioning between activities or places,"Leaving home or other sites (e.g., school) requires preparation that is often captured in routines so that all the elements of the departure are well-coordinated, with little emotional or behavioral disruption, and no necessary items are left behind. It is important to anticipate pending transitions and plan for what comes next. The departure requires the timely gathering of objects necessary for the transition, so that the departure can take place in an orderly and timely fashion. Transitions routines often use appropriate social elements (e.g., “Good-bye,” “See you tomorrow,” “Thank you,” waving or hugs, etc.), as well as addressing of safety concerns (e.g., “hold my hand”, “put on your seat belt”, etc.)"
FACETS,Trauma History,General Well-Being,having directly or indirectly experienced traumatic events,"In the course of typical, daily life, there are events of varying intensity that cause emotional or physical pain or disturbance (e.g., injury or death of a loved one). While upsetting and possibly causing “trauma-related symptoms,” they are not likely to lead to a trauma diagnosis. These symptoms generally resolve quickly and without long-term impact. On occasion, depending on the individual and the nature of the events, symptoms may persist. And, even more rarely, Post Traumatic Stress Disorder (PTSD), may appear. Severe traumatic reactions are generally associated with events in which the individual’s health safety and/or life are in immediate jeopardy. Individuals are more likely to be affected the closer they are in time and space to traumatic events."
Claude Opus 4.5,Trying New Things,Adaptability,Openness to unfamiliar experiences,The degree to which a student is willing to attempt new activities
Frameworks,work ethic and conscientiousness,Hilton & Pellegrino Clusters of 21st Century Competencies,"Initiative, self-direction, responsibility, perseverance, productivity, grit, Type 1 self- regulation (metacognitive skills, including forethought, performance, and self- reflection), professionalism/ ethics, integrity, citizenship, career orientation",
FACETS,Worries/Anxiety/Fears,Emotional Expression,managing worries and anxiety,"Worries are the result of fears or anxiety. The stimulus for worries can be internal or external. External worries often come from frightening or forbidden objects or events. Internal worries are often associated with self-doubt or lack of confidence, as well as legitimate concerns about objects or events from the past or anticipated in the future. Worries come in many forms, and while they generally reflect internal feeling states, they are commonly expressed as behaviors including the appearance of being anxious, excess vocalization of the worry, or avoidance."
FACETS,Writing,Academic Skills and School Functioning,cognitive and mechanical elements of written expression,"Writing is the graphical representation of ideas that consists of two separate and distinct actions. The first is the cognitive process of changing an idea into the symbols (letters, characters, or other) in preparation for writing. The second is the motor process of producing the “written” symbols that present an idea in whatever medium is chosen (paper, computer screen, etc.), in a fashion that is potentially comprehensible by others. While letters and complex symbols form the basis of developmentally sophisticated writing, the simple graphic productions (e.g., scribbles) of young children and others with limited skills, can be very effective communication tools."
