Items,Sources,Brief Descriptions,Descriptions
"Emotional Expression (2), Appropriate Emotional Expression, expressing & managing emotions, Expressing Emotions, personal expression, ability to express emotions accurately, and to express needs related to those feelings","Clinical scales (Emotional Control), Claude Opus 4.5 (Emotional Regulation), GPT 5.2 Thinking (Emotional Expression), Frameworks (Room to Read Life Skills Education Learning Outcomes), Claude Opus 4.5 (Emotional Regulation), Frameworks (Kenya TVET Values and Life Skills (VaLI) Framework), Frameworks (Emotional Intelligence)","Appropriateness of emotional display///Appropriateness of showing feelings///expressing feelings in ways that fit the setting and situation///Girls name their feelings and use verbal and nonverbal means of communicating them. Girls assertively express their feelings to their peers, family, and teachers. Girls can manage their emotions and understand how their behavioral response (actions and words) can impact others.///Appropriate communication of feelings///Students are able to express their personality, feelings or opinions to others in a respectful manner///Ability to express emotions accurately, and to express needs related to those feelings.","The degree to which the student's emotional expressions match the situation and are communicated in socially appropriate ways.///The degree to which the student expresses emotions in ways that are situationally appropriate in terms of intensity, timing, and manner.///Appropriate emotional expression refers to matching the intensity, timing, and form of emotion to the context (e.g., using words instead of yelling, choosing a private moment to share strong feelings, or calming before rejoining a group). Difficulty may appear as emotion that is too intense for the situation, emotion that seems absent or hard to read, or emotion expressed in ways that disrupt learning or relationships.//////The extent to which a student can identify//////"
"Emotional Resilience, Emotional Recovery, Recovering from Upset (2), Recovery","GPT 5.2 Thinking (Emotional Well-Being), Claude Opus 4.5 (Emotional Regulation), Claude Opus 4.5 (Emotional Regulation), Clinical scales (Emotional Regulation), Clinical scales (Emotional Control)",recovering from setbacks and returning to a steady emotional state///Bouncing back after becoming upset///Speed and ease of calming down///Bouncing back after frustration///Bouncing back from upset,"Emotional resilience is the ability to bounce back after disappointment, conflict, mistakes, or other challenges. Resilient students can regain composure and re-engage with learning, sometimes with brief support. Low resilience may appear as lingering upset, repeatedly dwelling on setbacks, or difficulty returning to baseline after relatively small challenges.///How quickly and effectively the student returns to a calm, regulated state after experiencing strong negative emotions such as anger, sadness, or disappointment.///The degree to which a student can return to a calm emotional state after experiencing distress///How quickly and effectively a student can calm down and return to normal functioning after experiencing a setback, disappointment, or emotional upset///How quickly and effectively the student returns to a calm, regulated state after experiencing strong emotions."
"emotional well-being, peace","Frameworks (MELQO MODEL Framework), Frameworks (Kenya TVET Values and Life Skills (VaLI) Framework)","Emotional well-being refers to aspects of optimal mental health that, if not evident in a child at this early stage, could predict more serious mental health problems, such as anxiety – a potential sign of post-traumatic stress disorder (PTSD); sadness, a potential precursor of depression; or the inability to control aggressive impulses – a precursor of oppositional and conduct disorders.///Students are able to be in a state of tranquility and harmony with oneself and among people. This can be modelled by creating an atmosphere of love, respect, tolerance, justice and solidarity",///
"Empathy (3), empathy building, Empathy and Kindness, empathic listening, caring/compassion, listening to others with understanding and empathy, understanding others’ feelings and emotions in context, caring, child expresses care and concern toward others","FACETS (Interacting with Others), Frameworks (Preparing Youth to Thrive), Claude Opus 4.5 (Social Relationships), Frameworks (WHO Skills for Health), Clinical scales (Prosocial Behavior), Frameworks (Social, Emotional, and Ethical (SEE) Learning Framework), Frameworks (The Five Cs Model of Positive Youth Development), Frameworks (Habits of Mind), Frameworks (Social, Emotional, and Ethical (SEE) Learning Framework), Frameworks (IB Learner Profile), Frameworks (Head Start)","having sensitivity to the feelings and needs of others///Relating to others with acceptance, understanding, and sensitivity to their diverse perspectives and experiences.///Awareness of and responsiveness to others' feelings///ability to listen understand another’s needs and circumstances, and express that understanding///Caring about others' feelings///Listen attentively for the purpose of understanding others and their needs more deeply///A sense of sympathy and empathy for others.///Highly effective people spend an inordinate amount of time and energy listening (Covey, 1989). Some psychologists believe that the ability to listen to another person, to empathize with, and to understand their point of view is one of the highest forms of intelligent behavior. Being able to paraphrase another person's ideas, detecting indicators (cues) of their feelings or emotional states in their oral and body language (empathy), accurately expressing another person's concepts, emotions and problems—all are indications of listening behavior (Piaget called it ""overcoming ego-centrism""). They are able to see through the diverse perspectives of others. They gently attend to another person demonstrating their understanding of and empathy for an idea or feeling by paraphrasing it accurately, building upon it, clarifying it, or giving an example of it.///Understand other’s feelings in context and understand that, like oneself, others have feelings caused by needs///We show empathy, compassion and respect. We have a commitment to service, and we act to make a positive difference in the lives of others and in the world around us.///Child expresses care and concern toward others",Empathy is the ability to understand the emotions and emotional state of another person (and some animals.)//////The extent to which a student recognizes//////The student's capacity to recognize and respond sensitively to others' emotional states and to show genuine care and compassion//////////////////
"energy, Energy Level (3), Physical Stamina","Frameworks (OECD), Claude Opus 4.5 (Physical Well-Being), Clinical scales (Physical Well-Being), GPT 5.2 Thinking (General Well-Being), GPT 5.2 Thinking (Motor Skills)","Approaching daily life with energy, excitement and spontaneity.///Observable vitality and alertness///Vitality and stamina///maintaining appropriate alertness and stamina across the school day///sustaining physical effort and posture across school activities","///The student's typical level of physical energy, alertness, and vitality during the school day.///The student's apparent energy, alertness, and physical vitality throughout the school day.///Energy level reflects a student’s alertness, stamina, and ability to stay awake and engaged during school. Low energy may look like fatigue, sluggishness, frequent yawning, or reduced effort; unusually high energy may look like difficulty settling or constant motion beyond what is expected. Energy can be influenced by sleep, nutrition, stress, and the demands of the school day.///Physical stamina reflects how well a student can maintain energy for movement, posture, and participation in physical activities across the day. In school, this may show during physical education, recess, transitions, or sitting upright for learning. Low stamina may look like quick fatigue, slumping, or avoidance of movement; high stamina supports participation without overexertion."
Engagement with Learning,GPT 5.2 Thinking (Academic Engagement),showing interest and involvement in learning activities,"Engagement with learning reflects how much a student is mentally and behaviorally involved in instruction and learning tasks. In the classroom, it may show up as attending to lessons, participating appropriately, asking questions, and staying involved even when tasks are challenging. Low engagement may look like frequent disengagement, minimal participation, or avoidance of learning activities."
exploration,Frameworks (ACT Holistic Framework),"Seeking and processing education and occupation information guided by knowledge of the self (e.g., identifying specific occupations that are of interest to you)",
Expressing Needs and Questions,GPT 5.2 Thinking (Expressive Communication),"clearly communicating needs, questions, and concerns","Expressing needs and questions refers to a student’s ability to tell others what they need in a clear, appropriate way (e.g., asking for clarification, requesting a break, or reporting a concern). Strong skills support independence and reduce frustration. Difficulty may be seen when a student stays silent when confused, communicates indirectly, or expresses needs through behavior rather than words."
"Expressive Language, Expressive Communication, Verbal Expression, Expressing Ideas, communicates, communicates verbally","FACETS (Expressive Communication), Clinical scales (Communication), Claude Opus 4.5 (Communication), Clinical scales (Communication), Frameworks (Employability Skills), Frameworks (Employability Skills)","communicating with speech and gestures///Sharing thoughts and feelings clearly///Clarity and effectiveness of spoken language///Clarity of communication///Student summarizes information to compose written or oral presentations, posters, reports, slides, etc. This can also be as simple as explaining a problem in front of the class.///Student provides oral responses. Evidence ranges from impromptu short answers during a lesson to completing a formal oral presentation.","Expressive Language includes words and sounds, powerfully augmented by non-verbal communication, including gestures, body posture, facial expression etc. There are many subtle elements that enhance the breadth, depth and nuance of expressive language. These include rate, rhythm, volume, prosody, and tone of speech, as well as vocabulary and word choice. Effective expressive communication requires the flexible, skillful combination of gestures and spoken words. It takes considerable effort to communicate functionally, yet remarkably, even from early life, typically developing individuals are able to express to others their ideas, feelings, wants, and needs. These skills grow in complexity over the course of the lifespan, however, there is considerable variability amongst individuals that depends on biological make-up, cognitive ability, environmental factors, and cultural/social experiences.///The student's ability to express ideas, needs, and emotions in ways that others can understand///The student's ability to express thoughts, needs, and ideas clearly through speech, including vocabulary use, sentence structure, and coherent organization of ideas.///The student's ability to express thoughts, needs, and ideas clearly through verbal or written communication.//////"
"fairness (3), social justice, appreciating and cultivating other ethical dispositions","Frameworks (ACT Holistic Framework), Clinical scales (Helping & Caring), GPT 5.2 Thinking (Interpersonal Conduct), Frameworks (Kenya TVET Values and Life Skills (VaLI) Framework), Frameworks (Social, Emotional, and Ethical (SEE) Learning Framework)","Acting in ways that are intended to be unbiased and fair to everyone///Treating others equitably///treating others fairly and sharing resources and opportunities///Students are able to demonstrate fair treatment of each other and promote of equity. To work towards creating a society driven by respect for human dignity, equity, solidarity and elimination of inequalities and discrimination. Also equal worth of all citizens.///Value and cultivate ethical dispositions and prosocial emotions, such as forgiveness, patience, contentment, generosity, and humility","///A student's inclination to treat others fairly, take turns, share resources equitably, and recognize when something is unfair///Fairness involves a student’s commitment to equitable treatment of others, including sharing, taking turns, and following agreed-upon rules in games and group work. It can be seen in how students react when outcomes feel unequal. Difficulty may show as insisting on special treatment, cheating, refusing to share, or frequent disputes about rules and turns.//////"
Fine Motor Skills,FACETS (Motor Skills),performing the full spectrum of fine motor activities,"Fine motor skills are represented by small motor movements, most commonly the product of the small muscle groups of the hands, fingers, toes, face and neck. It takes a great deal of coordination to effectively use the many muscle groups involved in fine motor activity. The coordination includes input from the kinesthetic, visual, and somatosensory systems, as well as practice for complex tasks, such as writing, drawing, speaking, and facial expression."
"flexibility (3), thinking flexibly, Cognitive Flexibility (2), Thinking Flexibility, Adaptability (3), Adjusting to Change, Response to Change, Flexibility with Changes, adapts and shows flexibility, adapt to change, be flexible, child demonstrates flexibility in thinking and behavior","Frameworks (ACT Holistic Framework), Clinical scales (Adaptability), Claude Opus 4.5 (Adaptability), Frameworks (Habits of Mind), GPT 5.2 Thinking (Learning with Reasoning and Abstraction), Frameworks (K-3 SEL Standards (Connecticut)), Claude Opus 4.5 (Adaptability and Flexibility), Clinical scales (Independence and Adaptability), GPT 5.2 Thinking (Disposition), Gemini 3 Pro (Behavior Control and Regulation), Claude Opus 4.5 (Adaptability and Flexibility), Claude Opus 4.5 (Adaptability), GPT 5.2 Thinking (Behavior Control and Regulation), Frameworks (Employability Skills), Frameworks (21st Century Learning), Frameworks (21st Century Learning), Frameworks (Head Start)","Adapting to new environments and making adjustments to accommodate changes///Adjusting to change///Accepting unexpected changes///An amazing discovery about the human brain is its plasticity--its ability to ""rewire"", change and even repair itself to become smarter. Flexible people are the ones with the most control. They have the capacity to change their mind as they receive additional data. They engage in multiple and simultaneous outcomes and activities, draw upon a repertoire of problem solving strategies and can practice style flexibility, knowing when it is appropriate to be broad and global in their thinking and when a situation requires detailed precision. They create and seek novel approaches and have a well-developed sense of humor. They envision a range of consequences. Flexible people can approach a problem from a new angle using a novel approach {deBono (1970) refers to this as lateral thinking.} They consider alternative points of view or deal with several sources of information simultaneously. Their minds are open to change based on additional information and data or reasoning, which contradicts their beliefs. Flexible people know that they have and can develop options and alternatives to consider. They understand mean-ends relationships being able to work within rules, criteria and regulations and they can predict the consequences of flouting them. They understand not only the immediate reactions but are also able to perceive the bigger purposes that such constraints serve. Thus, flexibility of mind is essential for working with social diversity, enabling an individual to recognize the wholeness and distinctness of other people's ways of experiencing and making meaning. Flexible thinkers are able to shift, at will, through multiple perceptual positions. One perceptual orientation is what Jean Piaget called, egocentrism--perceiving from our own point of view. By contrast, allocentrism is the position in which we perceive through another persons' orientation. We operate from this second position when we empathize with other's feelings, predict how others are thinking, and anticipate potential misunderstandings. Flexible thinkers display confidence in their intuition. They tolerate confusion and ambiguity up to a point, and are willing to let go of a problem trusting their subconscious to continue creative and productive work on it. Flexibility is the cradle of humor, creativity and repertoire. While there are many possible perceptual positions--past, present, future, egocentric, allocentric, macro centric, visual, auditory, kinesthetic--the flexible mind is activated by knowing when to shift perceptual positions.///shifting strategies or perspectives when rules or situations change///Full set of indicators in framework.///Openness to different approaches and perspectives///Adjusting to changes and new situations///adjusting to new situations, routines, and learning demands///adjusting to changes in routine or expectations///Coping with unexpected alterations to plans or expectations///Handling new situations///adapting when plans, routines, or expectations shift///Student adapts easily to different modes of instruction and different types of assignments.///Adapt to varied roles, jobs responsibilities, schedules and contexts; Work effectively in a climate of ambiguity and changing priorities///Incorporate feedback effectively; Deal positively with praise, setbacks and criticism; Understand, negotiate and balance diverse views and beliefs to reach workable solutions, particularly in multi-cultural environments///Child demonstrates flexibility in thinking and behavior","///The student's ability to adapt when plans, routines, or expectations change unexpectedly.///The extent to which a student can adjust plans//////Cognitive flexibility is the ability to adjust thinking when circumstances change, new information is introduced, or a different strategy is needed. Flexible thinkers can switch between tasks, try alternatives, and consider other viewpoints. Difficulty may show as rigid problem solving, insistence on one approach, or trouble adapting when directions or expectations change.//////The student's ability to consider alternative viewpoints, shift strategies when one approach is not working, and avoid rigid or perseverative thinking patterns.///How well the student handles transitions, changes in routine, new environments, and unexpected circumstances///Adaptability reflects a student’s general willingness and ability to adjust to change, novelty, and different expectations across settings. Adaptive students can try new approaches, accept new groupings or routines, and cope with uncertainty. Difficulty may appear as strong preference for sameness, resistance to new tasks, or needing extensive reassurance to try unfamiliar activities.///Adaptability refers to a student's capacity to adjust their behavior, thoughts, and emotions in response to changing, new, or unexpected situations. It involves flexibility in shifting from one task to another, handling changes in rules or schedules without excessive distress, and modifying strategies when a current approach is not working. High adaptability supports resilience and smooth functioning in the dynamic classroom environment.///The student's capacity to manage departures from routine, unexpected events, or changes in circumstances without becoming excessively upset or dysregulated.///How the student reacts to changes in routines, expectations, environments, or activities, including flexibility versus rigidity.///Flexibility with changes reflects how well a student adjusts when schedules, rules, or task demands change. Strong flexibility includes shifting attention and behavior with reasonable support and coping with unexpected events. Challenges may look like distress, resistance, or refusal when plans change, even when the change is minor or explained in advance.////////////"
Frustration Tolerance (3),"Claude Opus 4.5 (Emotional Regulation), Clinical scales (Emotional Control), GPT 5.2 Thinking (Emotional Expression)",Handling difficulty without becoming overwhelmed///Handling setbacks///staying engaged when tasks are difficult or mistakes occur,"The student's ability to cope with challenging situations, setbacks, or obstacles without becoming excessively upset, shutting down, or acting out.///The student's ability to cope with challenges, mistakes, setbacks, or situations that don't go as expected without becoming overwhelmed.///Frustration tolerance reflects how well a student can handle challenge, uncertainty, and mistakes without becoming overwhelmed. Students with strong tolerance can pause, try alternative strategies, and accept support. Difficulty may be seen in quick escalation, giving up, refusal, or emotional outbursts when work is hard or when expectations are not met quickly."
"Future Outlook, positive view of personal future, optimism","FACETS (Disposition), Frameworks (Developmental Assets (ages 12-18)), Frameworks (KIPP)",having thoughts and feelings about the future///Young person is optimistic about her or his personal future.///Confidence in a future full of positive possibilities,"Future outlook is the ability and willingness to flexibly think about and imagine the future, and adaptively anticipate what is to come in the near-and-short-term. A perspective on the future is usually accompanied by an attitude about what opportunities, threats, and goals lie ahead, an attitude that can shape actions and preparations related to potential future events.//////"
"goal orientation, achievement orientation, Personal Goals, academic tenacity, visioning, manage goals and time, goal striving","Frameworks (USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes), Frameworks (OECD), GPT 5.2 Thinking (Sense of Self), Frameworks (Building Blocks for Learning), Frameworks (Kenya TVET Values and Life Skills (VaLI) Framework), Frameworks (21st Century Learning), Frameworks (ACT Holistic Framework)","Goal orientationis defined as the motivation and ability to make viable plans and take action toward desired goals (Lippman et al., 2014a). Goal orientation was conceptualized in the workforce and SRH literature as educational and career aspirations, expectations about one’s ability to achieve specific accomplishments in the future, goal setting and planning skills. Goal orientation is closely tied with positive self-concept, since it relates to individuals’ beliefs about their abilities to accomplish specific goals. Goal-orientation was supported by the literature as related to three of the SRH outcomes studied for youth and was endorsed by some experts.///Setting high standards for oneself and working hard to meet them.///identifying personal goals and reflecting on progress over time///The beliefs and skills that allow students to look beyond short-term concerns to longer-term or higher-order goals, and withstand challenges and setbacks to persevere toward these goals.///Students are able to develop a plan, goal or vision for the future. It helps them to define what and where they want to be in life as well as define what success will look like.///Set goals with tangible and intangible success criteria; Balance tactical (short-term) and strategic (long-term) goals; Utilize time and manage workload efficiently///Setting challenging goals, doing tasks without being told, and working to improve or learn new skills","//////Personal goals refer to a student’s ability to set age-appropriate goals (academic, social, or personal) and reflect on progress. Goal setting can support motivation and self-direction when goals are realistic and supported. Difficulty may show as inability to identify goals, goals that are unrealistic, or limited reflection on what helped or hindered progress.////////////"
"Gross Motor Skills, physical skills","FACETS (Motor Skills), Frameworks (LEGO&#x27;s Skills for Holistic Development)","performing the full spectrum of gross motor activities///Being physically active, understanding movement and space through practicing sensory-motor skills, developing spatial understanding and nurturing an active and healthy body.","Gross motor skills are generally large amplitude motor movements, most commonly the product of the larger muscle groups of the limbs and trunk. Since there are many muscle groups involved in gross motor activity they must be coordinated to be effective. The coordination includes input from the kinesthetic, visual, and somatosensory systems, as well as practice for complex tasks, including walking. Skilled gross motor activity sets the stage for success in many areas including athletics, dance, cycling, driving etc.///"
"growth mindset (2), mindsets","Frameworks (Character Lab), Gemini 3 Pro (Academic Skills and School Functioning), Frameworks (Young Adult Success)","Having a growth mindset means understanding that intelligence can be developed.///belief that abilities can be developed///Beliefs and attitudes about oneself, the external world, and the interaction between the two. They are the default lenses that individuals use to process everyday experiences. Mindsets reflect a person’s unconscious biases, natural tendencies, and past experiences. Though mindsets are malleable, they tend to persist until disrupted and replaced with a different belief or attitude.",///Growth mindset is the belief that intelligence and abilities can be developed through dedication and hard work. Students with a growth mindset view challenges as opportunities to learn rather than threats to their self-image. They persist in the face of setbacks and see effort as the path to mastery.///
"Habits/Routines, Study and Practice Habits, Self-Directed Routines","FACETS (Behavior Control and Regulation), GPT 5.2 Thinking (Academic Skills and School Functioning), GPT 5.2 Thinking (Independence and Responsibility)","managing recurring habits///using routines to review, practice, and prepare for learning///managing daily routines (arrival, transitions, packing up) independently","Habits are well-practiced routines that are essential for managing daily function by creating efficiency and effectiveness processes for managing recurring tasks and addressing familiar problems. Habits are automatic behaviors, but, when necessary for successful adaptation, can be modified to accommodate changing circumstances.///Study and practice habits reflect the routines a student uses to build knowledge and skills over time (e.g., reviewing notes, practicing skills, preparing for assessments, or completing practice work). Strong habits support steady learning and confidence. Weak habits may show as inconsistent preparation, cramming, or not knowing how to practice effectively outside of direct instruction.///Self-directed routines reflect how well a student manages everyday school routines with minimal prompting, such as settling in, organizing materials, preparing for transitions, and packing up. Strong routines support independence and reduce stress. Difficulty may show as needing frequent reminders for common routines, missing routine steps, or becoming disorganized during predictable parts of the day."
Handling Challenges,Claude Opus 4.5 (Problem-Solving),Approaching difficulties constructively,The extent to which a student responds to obstacles or problems with a solution-oriented mindset rather than avoidance or frustration.
"Help-Seeking (2), Seeking Help","Clinical scales (Independence), Claude Opus 4.5 (Independence), Claude Opus 4.5 (Communication)",Asking for support appropriately///Appropriate requests for assistance///Willingness to ask for assistance,"The student's ability to recognize when help is needed and to seek assistance from appropriate sources in constructive ways.///The student's ability to recognize when they need help and seek assistance appropriately, balancing independence with knowing when support is needed.///The extent to which a student recognizes when help is needed and appropriately requests support from teachers or peers."
"Helpfulness (3), helping others","Social Communication (Prosocial Behavior), Clinical scales (Prosocial Behavior), Frameworks (ACT Holistic Framework), Frameworks (Social, Emotional, and Ethical (SEE) Learning Framework)",Willingness to assist others///Willingness to assist others///Helping others and being generous with his or her time and/or resources despite personal cost///Offer help to others according to their needs and proportionate to one’s ability,"The student's inclination to offer help, support, and assistance to peers and adults without being asked///The student's inclination to offer help, support, and assistance to peers and adults without being asked//////"
Inadequate Self-Care/Hygiene,FACETS (General Well-Being),not maintaining appropriate cleanliness,"Hygiene is a group of practices that are primarily designed to maintain cleanliness and prevention of disease. However, in addition to a health component, there is a strong social component to hygiene that is culturally driven. This includes grooming practices, attire, and general standards of tidiness. To meet the basic health obligations for hygiene requires regular washing and bathing of the body as well as washing clothes. To meet the social obligations of hygiene not only includes cleanliness, but also attending to standards for physical presentation. This includes various elements and depends on culture and environment. Some factors may include the type of clean clothing, cleaning teeth, arranging hair, trimming and painting nails, the use of makeup, management of body odor, etc."
"Independence, work independently, works independently, Independent Work","Clinical scales (Independence and Adaptability), Frameworks (21st Century Learning), Frameworks (Employability Skills), GPT 5.2 Thinking (Independence and Responsibility)","Age-appropriate self-reliance///Monitor, define, prioritize and complete tasks without direct oversight///Student commits to time-on-task during class and begins work without fanfare.///working on tasks with appropriate independence and help use","The student's ability to function autonomously, solve problems independently, and take initiative without excessive adult support/////////Independent work reflects how well a student can stay on task and complete work without constant adult support. It includes using resources (notes, examples, checklists) and seeking help when truly needed. Difficulty may show as over-reliance on adults, frequent stopping when unsure, or avoiding work unless someone sits with them."
"initiative (3), initiative and curiosity, child demonstrates initiative and independence, curiosity and initiative, takes initiative, implement innovations","Frameworks (The PRACTICE Model), GPT 5.2 Thinking (Disposition), Claude Opus 4.5 (Motivation and Engagement), Frameworks (Sesame Workshop Global Framework for Learning), Frameworks (Head Start), Frameworks (K-3 SEL Standards (Connecticut)), Frameworks (Employability Skills), Frameworks (21st Century Learning)","Initiative can be conceptualized as the “active ingredient” that motivates individuals to operate as positive and successful actors in their own lives and in systems. Initiative hinges on personal agency31 and an internal locus of control, a belief that outcomes depend on one’s own actions rather than fate, chance, or others. It is linked to enterprise, taking charge, follow-through, determination, and leadership. It also facilitates effective engagement within organizational contexts. Although initiative and achievement motivation are related, they are distinct skills. Initiative relates to any type of “take charge” action such as picking up litter on the street, whereas achievement motivation is linked to a desire to succeed and is associated with setting long-term academic and career goals and following this pursuit in spite of obstacles that may occur along the way. Initiative correlates with mastery orientation to achievement and relates to the personality traits of Openness to Experience and Conscientiousness.///taking appropriate action without waiting to be told///Self-starting behavior///A desire to explore a range of topics, eagerly engage in activities, think and play creatively, and learn independently. Show an interest in learning. Learning begins with curiosity as children show an interest in learning and talking about a range of topics, ideas, and tasks (i.e., ask questions and seek new information). Show self-confidence in approaching new challenges. Children are open to learning more things when they have confidence in their abilities and are empowered to take on new challenges and experiences while developing new skills. Think and play imaginatively. Children learn through play. Their imagination paves the way for flexible thinking as they think beyond their immediate reality while playing alone or with others (e.g., fly like a butterfly). Think creatively and symbolically. Problem solving requires creative thinking and can also require the use of symbols to represent things beyond the here and now. Children learn these skills as they explore divergent uses of an object (e.g., use a table as a “tent”) and use one thing to represent another in play (e.g., line up chairs to be a “bus”).///Child demonstrates initiative and independence///Full set of indicators in framework.///Student commits to time-on-task during class and begins work without fanfare. This is also evident during teamwork.///Act on creative ideas to make a tangible and useful contribution to the field in which the innovation will occur","///Initiative involves recognizing what needs to be done and acting independently in appropriate ways, such as beginning work, seeking resources, or contributing ideas. Students with strong initiative take constructive steps rather than waiting passively for direction. Low initiative may show as dependence on prompts, limited contribution, or not acting even when the next step is clear.///The degree to which the student independently begins tasks, seeks out learning opportunities, or takes action without prompting.///////////////"
"Integrity and Honesty, integrity, Honesty & Trustworthiness, Honesty (2), students demonstrate honestly/integrity, Honesty and Integrity, genuineness, principled, character, demonstrates integrity, ethics","FACETS (Sense of Self), Frameworks (Singapore Framework for 21CC and Student Outcomes), Clinical scales (Conduct & Behavior), Clinical scales (Behavior), Frameworks (Developmental Assets (ages 12-18)), Frameworks (K-12 SEL Standards (Anchorage)), Clinical scales (Behavior and Conduct), Frameworks (ACT Holistic Framework), Frameworks (IB Learner Profile), Frameworks (The Five Cs Model of Positive Youth Development), Frameworks (Employability Skills), Frameworks (Kenya TVET Values and Life Skills (VaLI) Framework)","recognizing and sharing truths and falsehoods with others///A person of integrity upholds ethical principles and has the moral courage to stand up for what is right.///Truthfulness and ethical behavior///Truthfulness and integrity///Young person ""tells the truth even when it is not easy.""///Full set of indicators in framework.///Truthfulness and respect for property///Being sincere and truthful in interactions, appropriately giving others credit, and acknowledging his or her mistakes///We act with integrity and honesty, with a strong sense of fairness and justice, and with respect for the dignity and rights of people everywhere. We take responsibility for our actions and their consequences.///Respect for societal and cultural norms, possession of standards for correct behaviors, a sense of right and wrong (morality), and integrity.///Student treats work assignments with respect in that work is either original or credited correctly.///Students are able to have a set of moral principles that govern their behavior within the work place. The students demonstrate the ability to tell the difference between right and wrong acts, and the discipline to always do the right thing . At a workplace, it is a determining factor for people to work together.","Integrity is the commitment to being honest and principled in one’s approach to problem-solving, as well as in social interactions. There are two major failures in integrity: 1) Errors of commission - specifically being dishonest or representing an untruth; and, 2) Errors of omission - specifically withholding important information required for a fair and balanced approach to a specific circumstance or situation.//////A student's tendency to be truthful, avoid cheating, respect others' property, and behave in ways that are honest and trustworthy///The student's tendency toward truthful communication and taking responsibility for their own actions./////////The student's tendency to be honest, avoid deception, and respect the belongings and rights of others///////////////"
"intellectual openness, openness to experience","Frameworks (Hilton & Pellegrino Clusters of 21st Century Competencies), Frameworks (Big Five Personality Traits)","Flexibility, adaptability, artistic and cultural appreciation, personal and social responsibility (including cultural awareness and competence), appreciation for diversity, adaptability, continuous learning, intellectual interest and curiosity///the tendency to be open to new aesthetic, cultural, or intellectual experiences",///
"Interest & Enjoyment, Positive Mood and Enjoyment, Enjoyment (2), reading for pleasure","Clinical scales (Mood & Outlook), GPT 5.2 Thinking (Emotional Well-Being), Clinical scales (Emotional Well-Being), Claude Opus 4.5 (Mood and Outlook), Frameworks (Developmental Assets (ages 12-18))","Engagement with activities and life///experiencing and showing enjoyment, interest, and positive emotion///Interest and pleasure///Capacity for pleasure and interest///Young person reads for pleasure three or more hours per week.","A student's capacity to feel interested in activities, experience pleasure and enjoyment, and approach life with curiosity rather than apathy///Positive mood and enjoyment reflect how often a student experiences interest, pleasure, and positive feelings during the school day. In class, this may show as smiling, laughter, curiosity, pride in work, or positive interactions with peers and adults. Low enjoyment may look like frequent flat affect, lack of interest, or limited positive response even during preferred activities.///The student's capacity to experience enjoyment, show enthusiasm, and engage with activities that are typically pleasurable.///The student's apparent ability to experience enjoyment, enthusiasm, or positive engagement during activities they previously or typically find rewarding.///"
"Interest in Learning, learning continuously","Claude Opus 4.5 (Motivation and Engagement), Frameworks (Habits of Mind)","Curiosity and enthusiasm for new knowledge///Intelligent people are in a continuous learning mode. Their confidence, in combination with their inquisitiveness, allows them to constantly search for new and better ways. People with this Habit of Mind are always striving for improvement, always growing, always learning, always modifying and improving themselves. They seize problems, situations, tensions, conflicts and circumstances as valuable opportunities to learn. A great mystery about humans is that we confront learning opportunities with fear rather than mystery and wonder. We seem to feel better when we know rather than when we learn. We defend our biases, beliefs, and storehouses of knowledge rather than inviting the unknown, the creative and the inspirational. Being certain and closed gives us comfort while being doubtful and open gives us fear. From an early age, employing a curriculum of fragmentation, competition and reactiveness, students are trained to believe that deep learning means figuring out the truth rather than developing capabilities for effective and thoughtful action. They have been taught to value certainty rather than doubt, to give answers rather than to inquire, to know which choice is correct rather than to explore alternatives. Our wish is for creative students and people who are eager to learn. That includes the humility of knowing that we don't know, which is the highest form of thinking we will ever learn. Paradoxically, unless you start off with humility you will never get anywhere, so as the first step you have to have already what will eventually be the crowning glory of all learning: the humility to know--and admit--that you don't know and not be afraid to find out.","The student's apparent enjoyment of learning, desire to explore new topics, and engagement with educational content beyond minimum requirements.///"
Irritability (2),"FACETS (Emotional Expression), Claude Opus 4.5 (Mood)",reacting to frustration or annoyance///Tendency toward frustration or annoyance,"Irritability is a feeling of agitation and annoyance in response to a stimulus or stress. Irritability can be an appropriate response to a offensive social or physical stimulus that becomes problematic, however, the appropriate intensity of such a response varies based on the intensity and persistence of the stimulus, as well as the social context. Irritability can range from a mild facial expression or gesture to a massive outpouring of emotions.///The extent to which a student is easily bothered"
