Framework,Term,Definition
Employability Skills,demonstrates integrity,Student treats work assignments with respect in that work is either original or credited correctly.
Employability Skills,demonstrates professionalism,Student treats others and work assignments with respect. Considers all ideas and work is either original or credited correctly.
Employability Skills,takes initiative,Student commits to time-on-task during class and begins work without fanfare. This is also evident during teamwork.
Employability Skills,displays a positive attitude and sense of self-worth,Student contributes positively to the class.
Employability Skills,takes responsibility for professional growth,"Student is active listener, seeking clarification and understanding when needed."
Employability Skills,manages time,Student demonstrates time management when organizing and planning project activities with a team or when organizing and managing themselves and individual class assignments and homework. Time management is inherent in almost all assignments.
Employability Skills,manages money,"Student manages money in group projects requiring allocation of limited finances and resources (i.e. designing/marketing a toy, flipping a house, or planning a trip)."
Employability Skills,manages resources,"Student manages resources in projects requiring allocation of limited finances, resources (materials), and personnel."
Employability Skills,manages personnel,"Student gains experience managing personnel (i.e. each other) in group projects requiring allocation of limited finances, resources (materials), and role assignments. They also manage their own behavior and participation."
Employability Skills,locates,Student uses analytical strategies to determine the best medium for finding necessary information.
Employability Skills,organizes,"Student uses graphic organizer—outline, concept map, organization chart, tables, etc. to sort information/data."
Employability Skills,uses,"Student uses classification and analytic skills to determine the necessary information (i.e., stay on target) to complete task."
Employability Skills,analyzes,Student assesses information to determine which is relevant (does not have to be a mathematical analysis).
Employability Skills,communicates,"Student summarizes information to compose written or oral presentations, posters, reports, slides, etc. This can also be as simple as explaining a problem in front of the class."
Employability Skills,communicates verbally,Student provides oral responses. Evidence ranges from impromptu short answers during a lesson to completing a formal oral presentation.
Employability Skills,listens actively,"Student is noticeably engaged through notetaking, questioning, and responding."
Employability Skills,comprehends written material,"Student uses/demonstrates reading skills by following written instructions/project directions, reviewing print and digital resources, completing worksheets, and asking questions about what they have read."
Employability Skills,conveys information in writing,"Student relies on writing skills to organize lab reports, posters, presentation materials and to take notes and reply to essay questions."
Employability Skills,observes carefully,Student interprets verbal and nonverbal communication efforts of others.
Employability Skills,understands and uses systems,Student understands their roles and assignments when collaborating as a team (system) and contributes to the organizational structure and function of the team.
Employability Skills,monitors systems,Student devises methods to assess team (system) progress.
Employability Skills,improves systems,"Student negotiates mid-course corrections, adaptations to team (system) tasks if necessary."
Employability Skills,understands and uses technology,Student understands their roles and assignments when collaborating as a team (system) and contributes to the organizational structure and function of the team.
Habits of Mind,persisting,"Efficacious people stick to a task until it is completed. They don't give up easily. They are able to analyze a problem, to develop a system, structure, or strategy to attack a problem. They employ a range and have repertoire of alternative strategies for problem solving. They collect evidence to indicate their problem-solving strategy is working, and if one strategy doesn't work, they know how to back up and try another. They recognize when a theory or idea must be rejected and another employed. They have systematic methods of analyzing a problem which include knowing how to begin, knowing what steps must be performed, and what data need to be generated or collected. Because they are able to sustain a problem solving process over time, they are comfortable with ambiguous situations."
Habits of Mind,managing impulsivity,"Effective problem solvers have a sense of deliberativeness: They think before they act. They intentionally form a vision of a product, plan of action, goal or a destination before they begin. They strive to clarify and understand directions, develop a strategy for approaching a problem and withhold immediate value judgments about an idea before fully understanding it. Reflective individuals consider alternatives and consequences of several possible directions prior to taking action. They decrease their need for trial and error by gathering information, taking time to reflect on an answer before giving it, making sure they understand directions, and listening to alternative points of view. Often students blurt the first answer that comes to mind. Sometimes they shout out an answer, start to work without fully understanding the directions, lack an organized plan or strategy for approaching a problem or make immediate value judgments about an idea—criticizing or praising it— before fully understanding it."
Habits of Mind,listening to others with understanding and empathy,"Highly effective people spend an inordinate amount of time and energy listening (Covey, 1989). Some psychologists believe that the ability to listen to another person, to empathize with, and to understand their point of view is one of the highest forms of intelligent behavior. Being able to paraphrase another person's ideas, detecting indicators (cues) of their feelings or emotional states in their oral and body language (empathy), accurately expressing another person's concepts, emotions and problems—all are indications of listening behavior (Piaget called it ""overcoming ego-centrism""). They are able to see through the diverse perspectives of others. They gently attend to another person demonstrating their understanding of and empathy for an idea or feeling by paraphrasing it accurately, building upon it, clarifying it, or giving an example of it."
Habits of Mind,thinking flexibly,"An amazing discovery about the human brain is its plasticity--its ability to ""rewire"", change and even repair itself to become smarter. Flexible people are the ones with the most control. They have the capacity to change their mind as they receive additional data. They engage in multiple and simultaneous outcomes and activities, draw upon a repertoire of problem solving strategies and can practice style flexibility, knowing when it is appropriate to be broad and global in their thinking and when a situation requires detailed precision. They create and seek novel approaches and have a well-developed sense of humor. They envision a range of consequences. Flexible people can approach a problem from a new angle using a novel approach {deBono (1970) refers to this as lateral thinking.} They consider alternative points of view or deal with several sources of information simultaneously. Their minds are open to change based on additional information and data or reasoning, which contradicts their beliefs. Flexible people know that they have and can develop options and alternatives to consider. They understand mean-ends relationships being able to work within rules, criteria and regulations and they can predict the consequences of flouting them. They understand not only the immediate reactions but are also able to perceive the bigger purposes that such constraints serve. Thus, flexibility of mind is essential for working with social diversity, enabling an individual to recognize the wholeness and distinctness of other people's ways of experiencing and making meaning. Flexible thinkers are able to shift, at will, through multiple perceptual positions. One perceptual orientation is what Jean Piaget called, egocentrism--perceiving from our own point of view. By contrast, allocentrism is the position in which we perceive through another persons' orientation. We operate from this second position when we empathize with other's feelings, predict how others are thinking, and anticipate potential misunderstandings. Flexible thinkers display confidence in their intuition. They tolerate confusion and ambiguity up to a point, and are willing to let go of a problem trusting their subconscious to continue creative and productive work on it. Flexibility is the cradle of humor, creativity and repertoire. While there are many possible perceptual positions--past, present, future, egocentric, allocentric, macro centric, visual, auditory, kinesthetic--the flexible mind is activated by knowing when to shift perceptual positions."
Habits of Mind,thinking about our thinking (metacognition),"Occurring in the neocortex, metacognition is our ability to know what we know and what we don't know. It is our ability to plan a strategy for producing what information is needed, to be conscious of our own steps and strategies during the act of problem solving, and to reflect on and evaluate the productiveness of our own thinking. While ""inner language,"" thought to be a prerequisite, begins in most children around age five, metacognition is a key attribute of formal thought flowering about age eleven. Probably the major components of metacognition are developing a plan of action, maintaining that plan in mind over a period of time, then reflecting back on and evaluating the plan upon its completion. Planning a strategy before embarking on a course of action assists us in keeping track of the steps in the sequence of planned behavior at the conscious awareness level for the duration of the activity. It facilitates making temporal and comparative judgments, assessing the readiness for more or different activities, and monitoring our interpretations, perceptions, decisions and behaviors. An example of this would be what superior teachers do daily: developing a teaching strategy for a lesson, keeping that strategy in mind throughout the instruction, then reflecting back upon the strategy to evaluate its effectiveness in producing the desired student outcomes. Intelligent people plan for, reflect on, and evaluate the quality of their own thinking skills and strategies. Metacognition means becoming increasingly aware of one's actions and the effect of those actions on others and on the environment; forming internal questions as one searches for information and meaning, developing mental maps or plans of action, mentally rehearsing prior to performance, monitoring those plans as they are employed--being conscious of the need for midcourse correction if the plan is not meeting expectations, reflecting on the plan upon completion of the implementation for the purpose of self-evaluation, and editing mental pictures for improved performance."
Habits of Mind,striving for accuracy and precision,"Embodied in the stamina, grace and elegance of a ballerina or a shoemaker, is the desire for craftsmanship, mastery, flawlessness and economy of energy to produce exceptional results. People who value accuracy, precision and craftsmanship take time to check over their products. They review the rules by which they are to abide; they review the models and visions they are to follow; and they review the criteria they are to employ and confirm that their finish product matches the criteria exactly. To be craftsmanlike means knowing that one can continually perfect one's craft by working to attain the highest possible standards, and pursue ongoing learning in order to bring a laser like focus of energies to task accomplishment. These people take pride in their work and have a desire for accuracy as they take time to check over their work. Craftsmanship includes exactness, precision, accuracy, correctness, faithfulness, and fidelity. For some people, craftsmanship requires continuous reworking. Mario Cuomo, a great speechwriter and politician, once said that his speeches were never done—it was only a deadline that made him stop working on them!"
Habits of Mind,questioning and positing problems,"One of the distinguishing characteristics between humans and other forms of life is our inclination, and ability to FIND problems to solve. Effective problem solvers know how to ask questions to fill in the gaps between what they know and what they don't know. Effective questioners are inclined to ask a range of questions. For example: requests for data to support others' conclusions and assumptions—such questions as, ""What evidence do you have.....?"" ""How do you know that's true?"" ""How reliable is this data source?"" They pose questions about alternative points of view: ""From whose viewpoint are we seeing, reading of hearing?"" ""From what angle, what perspective are we viewing this situation?"" Students pose questions, which make causal connections and relationships: ""How are these people (events) (situations) related to each other?"" ""What produced this connection?"" They pose hypothetical problems characterized by ""iffy""-type questions: ""What do you think would happen IF.....?"" ""IF that is true, then what might happen if....?"""
Habits of Mind,applying past knowledge to new situations,"Intelligent human beings learn from experience. When confronted with a new and perplexing problem they will often draw forth experience from their past. They can often be heard to say, ""This reminds me of...."" or ""This is just like the time when I..."" They explain what they are doing now in terms of analogies with or references to previous experiences. They call upon their store of knowledge and experience as sources of data to support, theories to explain, or processes to solve each new challenge. Furthermore, they are able to abstract meaning from one experience, carry it forth, and apply it in a new and novel situation. Too often students begin each new task as if it were being approached for the very first time. Teachers are often dismayed when they invite students to recall how they solved a similar problem previously and students don't remember."
Habits of Mind,thinking and communicating with clarity and precision,"Language refinement plays a critical role in enhancing a person’s cognitive maps, and their ability to think critically which is the knowledge base for efficacious action. Enriching the complexity and specificity of language simultaneously produces effective thinking. Language and thinking are closely entwined. Like either side of a coin, they are inseparable. When you hear fuzzy language, it is a reflection of fuzzy thinking. Intelligent people strive to communicate accurately in both written and oral form taking care to use precise language, defining terms, using correct names and universal labels and analogies. They strive to avoid overgeneralizations, deletions and distortions. Instead they support their statements with explanations, comparisons, quantification, and evidence."
Habits of Mind,gathering data through all senses,"Intelligent people know that all information gets into the brain through the sensory pathways: gustatory, olfactory, tactile, kinesthetic, auditory, visual, Most linguistic, cultural, and physical learning is derived from the environment by observing or taking in through the senses. To know a wine it must be drunk; to know a role it must be acted; to know a game it must be played; to know a dance it must be moved; to know a goal it must be envisioned. Those whose sensory pathways are open, alert, and acute absorb more information from the environment than those whose pathways are withered, immune, and oblivious to sensory stimuli."
Habits of Mind,"creating, imagining, and innovating","All human beings have the capacity to generate novel, original, clever or ingenious products, solutions, and techniques—if that capacity is developed. Creative human beings try to conceive problem solutions differently, examining alternative possibilities from many angles. They tend to project themselves into different roles using analogies, starting with a vision and working backward, imagining they are the objects being considered. Creative people take risks and frequently push the boundaries of their perceived limits (Perkins 1985). They are intrinsically rather than extrinsically motivated, working on the task because of the aesthetic challenge rather than the material rewards. Creative people are open to criticism. They hold up their products for others to judge and seek feedback in an ever-increasing effort to refine their technique. They are uneasy with the status quo. They constantly strive for greater fluency, elaboration, novelty, parsimony, simplicity, craftsmanship, perfection, beauty, harmony, and balance."
Habits of Mind,responding with wonderment and awe,"Describing the 200 best and brightest of the All USA College Academic Team identified by USA Today, Tracey Wong Briggs (1999) states, “They are creative thinkers who have a passion for what they do.” Efficacious people have not only an ""I CAN"" attitude, but also an ""I ENJOY"" feeling. They seek problems to solve for themselves and to submit to others. They delight in making up problems to solve on their own and request enigmas from others. They enjoy figuring things out by themselves, and continue to learn throughout their lifetimes. We want our students, however to be curious; to commune with the world around them; to reflect on the changing formations of a cloud; feel charmed by the opening of a bud; sense the logical simplicity of mathematical order. Students can find beauty in a sunset, intrigue in the geometric of a spider web, and exhilaration at the iridescence of a hummingbird's wings. They see the congruity and intricacies in the derivation of a mathematical formula, recognize the orderliness and adroitness of a chemical change, and commune with the serenity of a distant constellation. We want them feel compelled, enthusiastic and passionate about learning, inquiring and mastering."
Habits of Mind,taking responsible risks,"Flexible people seem to have an almost uncontrollable urge to go beyond established limits. They are uneasy about comfort; they ""live on the edge of their competence"". They seem compelled to place themselves in situations where they do not know what the outcome will be. They accept confusion, uncertainty, and the higher risks of failure as part of the normal process and they learn to view setbacks as interesting, challenging and growth producing. However, they are not behaving impulsively. Their risks are educated. They draw on past knowledge, are thoughtful about consequences and have a well-trained sense of what is appropriate. They know that all risks are not worth taking! Risk taking can be considered in two categories: those who see it as a venture and those who see it as adventure. The venture part of risk taking might be described by the venture capitalist. When a person is approached to take the risk of investing in a new business, she will look at the markets, see how well organized the ideas are, and study the economic projections. If she finally decides to take the risk, it is a well considered one.The adventure part of risk taking might be described by the experiences from project adventure. In this situation, there is a spontaneity, a willingness to take a chance in the moment. Once again, a person will only take the chance if they know that there is either past history that suggests that what they are doing is not going to be life threatening or if they believe that there is enough support in the group to protect them from harm. Ultimately, the learning from such high-risk experiences is that people are far more able to take actions than they previously believed. It is only through repeated experiences that risk taking becomes educated. It often is a cross between intuition, drawing on past knowledge and a sense of meeting new challenges. Bobby Jindal, executive Director of the National Bipartisan Commission on the Future of Medicare states, “The only way to succeed is to be brave enough to risk failure. “ (Briggs, 1999 p 2A) When someone holds back from taking risks, he is confronted constantly with missed opportunities. Some students seem reluctant to take risks. Some students hold back games, new learning, and new friendships because their fear of failure is far greater than their experience of venture or adventure. They are reinforced by the mental voice that says, “ if you don’t try it, you won’t be wrong” or “if you try it and you are wrong, you will look stupid”. The other voice that might say, “if you don’t try it, you will never know” is trapped in fear and mistrust. They are more interested in knowing whether their answer is correct or not, rather than being challenged by the process of finding the answer. They are unable to sustain a process of problem solving and finding the answer over time, and therefore avoid ambiguous situations. They have a need for certainty rather than an inclination for doubt. We hope that students will learn how to take intellectual as well as physical risks. Students who are capable of being different, going against the grain of the common, thinking of new ideas and testing them with peers as well as teachers, are more likely to be successful in this age of innovation and uncertainty."
Habits of Mind,finding humor,"Another unique attribute of human beings is our sense of humor. Laughter transcends all human beings. Its’ positive effects on psychological functions include a drop in the pulse rate, the secretion of endorphins, an increased oxygen in the blood. It has been found to liberate creativity and provoke such higher level thinking skills as anticipation, finding novel relationships, visual imagery, and making analogies. People who engage in the mystery of humor have the ability to perceive situations from an original and often interesting vantagepoint. They tend to initiate humor more often, to place greater value on having a sense of humor, to appreciate and understand others' humor and to be verbally playful when interacting with others. Having a whimsical frame of mind, they thrive on finding incongruity and perceiving absurdities, ironies and satire; finding discontinuities and being able to laugh at situations and themselves. Some students find humor in all the ""wrong places""--human differences, ineptitude, injurious behavior, vulgarity, violence and profanity. They laugh at others yet are unable to laugh at themselves. We want our student to acquire the characteristic of creative problem solvers, they can distinguish between situations of human frailty and fallibility which are in need of compassion and those which are truly funny. (Dyer, 1997)."
Habits of Mind,thinking interdependently,"Human beings are social beings. We congregate in groups, find it therapeutic to be listened to, draw energy from one another, and seek reciprocity. In groups we contribute our time and energy to tasks that we would quickly tire of when working alone. In fact, we have learned that one of the cruelest forms of punishment that can be inflicted on an individual is solitary confinement. Cooperative humans realize that all of us together are more powerful, intellectually and/or physically, than any one individual. Probably the foremost disposition in the post industrial society is the heightened ability to think in concert with others; to find ourselves increasingly more interdependent and sensitive to the needs of others. Problem solving has become so complex that no one person can go it alone. No one has access to all the data needed to make critical decisions; no one person can consider as many alternatives as several people can. Some students may not have learned to work in groups; they have underdeveloped social skills. They feel isolated, they prefer their solitude. ""Leave me alone--I'll do it by my self"". "" They just don't like me"". ""I want to be alone."" Some students seem unable to contribute to group work either by being a ""job hog"" or conversely, letting others do all the work. Working in groups requires the ability to justify ideas and to test the feasibility of solution strategies on others. It also requires the development of a willingness and openness to accept the feedback from a critical friend. Through this interaction the group and the individual continue to grow. Listening, consensus seeking, giving up an idea to work with someone else's, empathy, compassion, group leadership, knowing how to support group efforts, altruism--all are behaviors indicative of cooperative human beings."
Habits of Mind,learning continuously,"Intelligent people are in a continuous learning mode. Their confidence, in combination with their inquisitiveness, allows them to constantly search for new and better ways. People with this Habit of Mind are always striving for improvement, always growing, always learning, always modifying and improving themselves. They seize problems, situations, tensions, conflicts and circumstances as valuable opportunities to learn. A great mystery about humans is that we confront learning opportunities with fear rather than mystery and wonder. We seem to feel better when we know rather than when we learn. We defend our biases, beliefs, and storehouses of knowledge rather than inviting the unknown, the creative and the inspirational. Being certain and closed gives us comfort while being doubtful and open gives us fear. From an early age, employing a curriculum of fragmentation, competition and reactiveness, students are trained to believe that deep learning means figuring out the truth rather than developing capabilities for effective and thoughtful action. They have been taught to value certainty rather than doubt, to give answers rather than to inquire, to know which choice is correct rather than to explore alternatives. Our wish is for creative students and people who are eager to learn. That includes the humility of knowing that we don't know, which is the highest form of thinking we will ever learn. Paradoxically, unless you start off with humility you will never get anywhere, so as the first step you have to have already what will eventually be the crowning glory of all learning: the humility to know--and admit--that you don't know and not be afraid to find out."
Head Start,child manages emotions with increasing independence,Child manages emotions with increasing independence
Head Start,child follows classroom rules and routines with increasing independence,Child follows classroom rules and routines with increasing independence
Head Start,child appropriately handles and takes care of classroom materials,Child appropriately handles and takes care of classroom materials
Head Start,"child manages actions, words, and behavior with increasing independence","Child manages actions, words, and behavior with increasing independence"
Head Start,child demonstrates an increasing ability to control impulses,Child demonstrates an increasing ability to control impulses
Head Start,child maintains focus and sustains attention with minimal adult support,Child maintains focus and sustains attention with minimal adult support
Head Start,child persists in tasks,Child persists in tasks
Head Start,child holds information in mind and manipulates it to perform tasks,Child holds information in mind and manipulates it to perform tasks
Head Start,child demonstrates flexibility in thinking and behavior,Child demonstrates flexibility in thinking and behavior
Head Start,child demonstrates initiative and independence,Child demonstrates initiative and independence
Head Start,child shows interest in and curiosity about the world around them,Child shows interest in and curiosity about the world around them
Head Start,child expresses creativity in thinking and communication,Child expresses creativity in thinking and communication
Head Start,child uses imagination in play and interactions with others,Child uses imagination in play and interactions with others
Head Start,child engages in and maintains positive relationships and interactions with adults,Child engages in and maintains positive relationships and interactions with adults
Head Start,child engages in prosocial and cooperative behavior with adults,Child engages in prosocial and cooperative behavior with adults
Head Start,child engages in and maintains positive interactions and relationships with other children,Child engages in and maintains positive interactions and relationships with other children
Head Start,child engages in cooperative play with other children,Child engages in cooperative play with other children
Head Start,child uses basic problem-solving skills to resolve conflicts with other children,Child uses basic problem-solving skills to resolve conflicts with other children
Head Start,child expresses a broad range of emotions and recognizes these emotions in self and others,Child expresses a broad range of emotions and recognizes these emotions in self and others
Head Start,child expresses care and concern toward others,Child expresses care and concern toward others
Head Start,child manages emotions with increasing independence,Child manages emotions with increasing independence
Head Start,"child recognizes self as a unique individual having own abilities, characteristics, emotions, and interests","Child recognizes self as a unique individual having own abilities, characteristics, emotions, and interests."
Head Start,child expresses confidence in own skills and positive feelings about self,Child expresses confidence in own skills and positive feelings about self.
Head Start,"child has sense of belonging to family, community, and other groups","Child has sense of belonging to family, community, and other groups."
Hilton & Pellegrino Clusters of 21st Century Competencies,cognitive processes and strategies,"Critical thinking, problem solving, analysis, reasoning/argumentation, interpretation, decision making, adaptive learning, executive function"
Hilton & Pellegrino Clusters of 21st Century Competencies,knowledge,Information literacy (research using evidence and recognizing bias in sources); information and communications technology literacy; oral and written communication; active listening
Hilton & Pellegrino Clusters of 21st Century Competencies,creativity,"Creativity, innovation"
Hilton & Pellegrino Clusters of 21st Century Competencies,intellectual openness,"Flexibility, adaptability, artistic and cultural appreciation, personal and social responsibility (including cultural awareness and competence), appreciation for diversity, adaptability, continuous learning, intellectual interest and curiosity"
Hilton & Pellegrino Clusters of 21st Century Competencies,work ethic and conscientiousness,"Initiative, self-direction, responsibility, perseverance, productivity, grit, Type 1 self- regulation (metacognitive skills, including forethought, performance, and self- reflection), professionalism/ ethics, integrity, citizenship, career orientation"
Hilton & Pellegrino Clusters of 21st Century Competencies,positive core self-evaluation,"Type 2 self-regulation (self- monitoring, self-evaluation, self- reinforcement), physical and psychological health"
Hilton & Pellegrino Clusters of 21st Century Competencies,teamwork and collaboration,"Communication, collaboration, teamwork, cooperation, coordination, interpersonal skills, empathy/perspective taking, trust, service orientation, conflict resolution, negotiation"
Hilton & Pellegrino Clusters of 21st Century Competencies,leadership,"Leadership, responsibility, assertive communication, self- presentation, social influence with others"
IB Learner Profile,inquirers,"We nurture our curiosity, developing skills for inquiry and research. We know how to learn independently and with others. We learn with enthusiasm and sustain our love of learning throughout life."
IB Learner Profile,knowledgeable,"We develop and use conceptual understanding, exploring knowledge across a range of disciplines. We engage with issues and ideas that have local and global significance."
IB Learner Profile,thinkers,"We use critical and creative thinking skills to analyse and take responsible action on complex problems. We exercise initiative in making reasoned, ethical decisions."
IB Learner Profile,communicators,"We express ourselves confidently and creatively in more than one language and in many ways. We collaborate effectively, listening carefully to the perspectives of other individuals and groups."
IB Learner Profile,principled,"We act with integrity and honesty, with a strong sense of fairness and justice, and with respect for the dignity and rights of people everywhere. We take responsibility for our actions and their consequences."
IB Learner Profile,open-minded,"We critically appreciate our own cultures and personal histories, as well as the values and traditions of others. We seek and evaluate a range of points of view, and we are willing to grow from the experience."
IB Learner Profile,caring,"We show empathy, compassion and respect. We have a commitment to service, and we act to make a positive difference in the lives of others and in the world around us."
IB Learner Profile,risk-takers,We approach uncertainty with forethought and determination; we work independently and cooperatively to explore new ideas and innovative strategies. We are resourceful and resilient in the face of challenges and change.
IB Learner Profile,balanced,"We understand the importance of balancing different aspects of our lives—intellectual, physical, and emotional—to achieve well-being for ourselves and others. We recognize our interdependence with other people and with the world in which we live."
IB Learner Profile,reflective,We thoughtfully consider the world and our own ideas and experience. We work to understand our strengths and weaknesses in order to support our learning and personal development
IRC Social and Emotional Learning Competencies,brain building,"The foundational cognitive skills and mental process that enable us to focus attention, remember instructions, control impulses and juggle multiple tasks."
IRC Social and Emotional Learning Competencies,emotion regulation,The set of skills that allows us to understand our own emotions and manage our feelings in a positive manner.
IRC Social and Emotional Learning Competencies,positive social skills,"The set of skills which allow us to relate to one another in a positive way, through understanding others’ feelings and behavior and responding in a way that promotes positive social interaction."
IRC Social and Emotional Learning Competencies,conflict resolution skills,The set of skills which helps us address problems and conflicts between individuals in a positive manner as they arise.
IRC Social and Emotional Learning Competencies,perseverance,The set of skills that allows us to push through challenges and continue to work towards a realistic goal.
IRC Social and Emotional Learning Competencies,mindfulness,"Mindfulness is cross-cutting throughout IRC’s approach to SEL, addressing skills in all five competencies. Mindfulness is defined as: the state of being aware and focused on the present moment; accepting the present while being open and curious about what is happening around and inside us. Students learn the benefits of mindfulness for reducing feelings of anxiety and stress, focusing their attention and learning to persevere through hardship."
K-12 SEL Standards (Anchorage),students demonstrate an awareness of their emotions,Full set of indicators in framework.
K-12 SEL Standards (Anchorage),students demonstrate awareness of their personal traits,Full set of indicators in framework.
K-12 SEL Standards (Anchorage),students demonstrate awareness of their external supports,Full set of indicators in framework.
K-12 SEL Standards (Anchorage),students have a sense of personal responsibility,Full set of indicators in framework.
K-12 SEL Standards (Anchorage),students demonstrate ability to manage their emotions constructively,Full set of indicators in framework.
K-12 SEL Standards (Anchorage),students demonstrate honestly/integrity,Full set of indicators in framework.
K-12 SEL Standards (Anchorage),students use effective decision-making skills,Full set of indicators in framework.
K-12 SEL Standards (Anchorage),students demonstrate ability to set and achieve goals,Full set of indicators in framework.
K-12 SEL Standards (Anchorage),student demonstrates awareness of other people's emotions and perspectives,Full set of indicators in framework.
K-12 SEL Standards (Anchorage),students demonstrate consideration for others and a desire to positively contribute to their community,Full set of indicators in framework.
K-12 SEL Standards (Anchorage),students demonstrate an awareness of cultural issues and a respect for human dignity and differences,Full set of indicators in framework.
K-12 SEL Standards (Anchorage),students can read social cues,Full set of indicators in framework.
K-12 SEL Standards (Anchorage),students use positive communication and social skills to interact effectively with others,Full set of indicators in framework.
K-12 SEL Standards (Anchorage),students develop constructive relationships,Full set of indicators in framework.
K-12 SEL Standards (Anchorage),"students demonstrate the ability to prevent, manage, and resolve interpersonal conflicts in constructive ways",Full set of indicators in framework.
K-3 SEL Standards (Connecticut),self-awareness,Full set of indicators in framework.
K-3 SEL Standards (Connecticut),sense of self as competent and capable,Full set of indicators in framework.
K-3 SEL Standards (Connecticut),sense of self as a learner,Full set of indicators in framework.
K-3 SEL Standards (Connecticut),curiosity and initiative,Full set of indicators in framework.
K-3 SEL Standards (Connecticut),cooperation during learning experiences,Full set of indicators in framework.
K-3 SEL Standards (Connecticut),identifying and understanding emotions,Full set of indicators in framework.
K-3 SEL Standards (Connecticut),empathy,Full set of indicators in framework.
K-3 SEL Standards (Connecticut),social awareness and interpersonal skills,Full set of indicators in framework.
K-3 SEL Standards (Connecticut),responsible decision making and social problem solving,Full set of indicators in framework.
K-3 SEL Standards (Connecticut),conflict resolution,Full set of indicators in framework.
K-3 SEL Standards (Connecticut),working memory and meta-cognition,Full set of indicators in framework.
K-3 SEL Standards (Connecticut),cognitive flexibility,Full set of indicators in framework.
K-3 SEL Standards (Connecticut),self-regulation of impulses and emotional reaction,Full set of indicators in framework.
K-3 SEL Standards (Connecticut),managing attention and behavior,Full set of indicators in framework.
K-3 SEL Standards (Connecticut),critical and analytical thinking,Full set of indicators in framework.
K-3 SEL Standards (Connecticut),applying information to new experiences,Full set of indicators in framework.
K-3 SEL Standards (Connecticut),reasoning and problem solving,Full set of indicators in framework.
K-3 SEL Standards (Connecticut),symbolic representation,Full set of indicators in framework.
K-3 SEL Standards (Connecticut),pretend or symbolic play,Full set of indicators in framework.
KIPP,zest,Enthusiastic and energetic participation in life
KIPP,grit,Perseverance and passion for long-term goals
KIPP,optimism,Confidence in a future full of positive possibilities
KIPP,self-control,The capacity to regulate one's own responses so they align with short and long-term goals
KIPP,gratitiude,"Appreciation for the benefits we receive from others, and the desire to express thanks"
KIPP,social intelligence,Understanding the feelings of others and adapting actions accordingly
KIPP,curiosity,Eagerness to explore new things with openness
Kenya BECF Core Competencies for Basic Education,communication and collaboration,"Communication is the act of transferring information from one place to another, whether vocally, visually, or non-verbally. The discipline of communication focuses on how people use messages to generate meanings within and across various contexts, cultures, channels, and media. The discipline promotes the effective and ethical practice of human communication. Collaboration is the process of two or more people or organizations working together to realize shared goals. Collaboration may require leadership, although this can be social within decentralized or egalitarian groups or teams that work collaboratively in relation to gaining greater resources, recognition and motivation."
Kenya BECF Core Competencies for Basic Education,self-efficacy,"Self-efficacy is a person’s belief about his or her capabilities to perform tasks or assignments that can change and transform his or her life. It determines how the person feels, thinks, behaves and motivates themselves. Self-efficacy has the potential to determine four major processes namely cognitive, motivational, affective and selection processes."
Kenya BECF Core Competencies for Basic Education,critical thinking and problem solving,"An important outcome of quality education is teaching learners how to think critically. The British Council (2015) identifies three types of thinking: reasoning, making judgements, and problem solving. It is possible for learners to reason in an uncritical way. When learners are empowered with critical thinking, they avoid being subjective, and use logic and evidence to arrive at conclusions. Critical thinking also facilitates exploring new ways of doing things and learner autonomy. Learners learn that for every issue there are multiple perspectives that they can explore, rather than a rigid recall and regurgitation of information."
Kenya BECF Core Competencies for Basic Education,creativity and imagination,"Creativity and imagination refers to the ability to form new images and sensations in the mind, and to turn them into reality(British Council, 2016). It is the ability to imagine things that are not real, to form pictures in the mind of things that one has not seen or experienced, and turn those pictures into real things. It also refers to the act or power of forming mental images of things that are not present to the senses, or that are never wholly perceived in reality, and creating physical representations of those images."
Kenya BECF Core Competencies for Basic Education,citizenship,"Citizenship is the state of being vested with the rights, privileges, and duties of a citizen. It creates a sense of belonging and attachment to one's nation.A sense of citizenship helps to equip young people to deal with situations of conflict and controversy knowledgeably and tolerantly. They are able to understand the consequences of their actions, and those of the adults around them."
Kenya BECF Core Competencies for Basic Education,digital literacy,"Digital literacy can be described as having the knowledge, skills and behaviours which are necessary to effectively and safely use a wide range of digital content and devices. Such devices include mobile phones, smartphones, tablets, laptops and desktops among others. All these fall within the category of network enabled devices. Digital literacy focuses mainly on network enabled devices and should not be confused with computer literacy skills. However, traditional forms of literacy and computer literacy are enhancers in the acquisition of digital literacy skills."
Kenya BECF Core Competencies for Basic Education,learning to learn,"Learning to learn is the ability to pursue and persist in learning, to organise one’s own learning by the effective management of time and information, both individually and in groups. This competence includes awareness of one’s learning process and needs, identifying available opportunities, and the ability to overcome obstacles in order to learn successfully. This competence means gaining, processing and assimilating new knowledge and skills as well as seeking and making use of guidance. Learning to learn helps learners to build on prior learning and life experiences in order to use and apply knowledge and skills in a variety of contexts. There are four pillars of learning: Learning to know, learning to do, learning to be and learning to live to live together."
Kenya TVET Values and Life Skills (VaLI) Framework,love,"Students are able to be genuine in caring, showing compassion for and being kind towards others regardless of what one gets in return, enabling one to act favourably towards the less fortunate or those who may be indifferent towards them."
