irrelevant,misattributed FACETS,coarse FACETS item,granular FACETS item,not in FACETS,Subcategory,Max FACETS similarity,Source,Max non-FACETS similarity,Max FACETS similarity value,Max non-FACETS similarity value,Category,Brief Description,Description
,,,,1,Social Awareness,Social Communication,Claude Opus 4.5,Social Awareness,0.651,0.946,Social Functioning,Understanding social cues and others' perspectives,"The degree to which the student recognizes and interprets social signals, understands how their behavior affects others, and demonstrates awareness of others' feelings and viewpoints."
,,,1,,Physical Activity,Activity Level,Clinical scales,Activity Level,0.651,0.763,Activity Level,Body movement and energy,"The student's typical level of physical movement, restlessness, and need for motion during activities that require sitting or stillness."
,,,1,,Impulse Control,Self-Control,Claude Opus 4.5,Impulse Control,0.648,0.987,Behavioral Self-Control,Thinking before acting,"The student's ability to pause and consider consequences before acting, resist urges to engage in inappropriate behavior, and inhibit automatic responses when necessary."
,,,,1,Social Awareness,Social Communication,Claude Opus 4.5,Social Awareness,0.648,0.946,Social Functioning,Reading social situations,"The student's ability to perceive and interpret social cues, understand others' perspectives, and recognize the impact of their behavior on others."
,,,1,,stress tolerance,Stress Management,Frameworks,stress management,0.648,0.689,ACT Holistic Framework,The degree to which a person can control feelings of anxiety and other negative emotions in order to function effectively in a range of situations,
,,,1,,comprehends written material,Reading,Frameworks,Reading,0.648,0.698,Employability Skills,"Student uses/demonstrates reading skills by following written instructions/project directions, reviewing print and digital resources, completing worksheets, and asking questions about what they have read.",
,,,1,,Excessive Worry,Worries/Anxiety/Fears,Claude Opus 4.5,General Worry,0.647,0.77,Stress and Worry,Tendency to ruminate or anticipate negative outcomes,"The extent to which the student engages in persistent worrying about future events, potential problems, or negative possibilities beyond what the situation warrants."
,,,1,,General Worry,Worries/Anxiety/Fears,Clinical scales,General Worry,0.647,0.975,Worry & Nervousness,Tendency toward excessive concern,"The extent to which a student worries about things—including future events, past mistakes, performance, or potential problems—beyond what situations warrant"
,,,1,,order,Planning and Organization,Frameworks,Organization,0.647,0.686,ACT Holistic Framework,"Planning and organizing tasks and materials, creating schedules, monitoring progress, and paying close attention to details",
,,1,,,self-regulation of impulses and emotional reaction,Emotion Regulation/Reactivity,Frameworks,self-control,0.647,0.667,K-3 SEL Standards (Connecticut),Full set of indicators in framework.,
,,,,1,Emotional Resilience,Emotion Regulation/Reactivity,GPT 5.2 Thinking,Emotional Recovery,0.647,0.819,Emotional Well-Being,recovering from setbacks and returning to a steady emotional state,"Emotional resilience is the ability to bounce back after disappointment, conflict, mistakes, or other challenges. Resilient students can regain composure and re-engage with learning, sometimes with brief support. Low resilience may appear as lingering upset, repeatedly dwelling on setbacks, or difficulty returning to baseline after relatively small challenges."
,,1,,,active engagement,Social Engagement,Frameworks,Engagement with Learning,0.646,0.655,Clover Model,"Active Engagement is about physically connect- ing to the world. Everyone (regardless of physical ability) exists in their body—physical existence is the foundation of mental and emotional existence. The body is a significant factor in psychosomatic, eating, and stress disorders.",
,,,,1,attending to emotions and feelings,Emotion Regulation/Reactivity,Frameworks,attending to our body and sensations,0.646,0.676,"Social, Emotional, and Ethical (SEE) Learning Framework",Attend to and identify one’s emotions in type and intensity as they arise,
,,,1,,empathic listening,Empathy,Frameworks,empathy building,0.646,0.698,"Social, Emotional, and Ethical (SEE) Learning Framework",Listen attentively for the purpose of understanding others and their needs more deeply,
,,,,,self concept,Self-Image,Frameworks,self-awareness,0.646,0.776,Vision of the Haitian Child in Society: Social Emotional Framework,"Personal Idenity (Categories (i.e. color, gender) traits, roles, existential) Historical identity and national pride (ethnicity, heritage, colonization and effects etc.) Healthy self-image Confidence, self-esteem, dignity, value Experiencing success (and avoiding false praise)",
,,,,,Expressive Language,Receptive Language,FACETS,Expressive Communication,0.645,0.738,Expressive Communication,communicating with speech and gestures,"Expressive Language includes words and sounds, powerfully augmented by non-verbal communication, including gestures, body posture, facial expression etc. There are many subtle elements that enhance the breadth, depth and nuance of expressive language. These include rate, rhythm, volume, prosody, and tone of speech, as well as vocabulary and word choice. Effective expressive communication requires the flexible, skillful combination of gestures and spoken words. It takes considerable effort to communicate functionally, yet remarkably, even from early life, typically developing individuals are able to express to others their ideas, feelings, wants, and needs. These skills grow in complexity over the course of the lifespan, however, there is considerable variability amongst individuals that depends on biological make-up, cognitive ability, environmental factors, and cultural/social experiences."
,,,,,Receptive Language,Expressive Language,FACETS,Receptive Communication,0.645,0.785,Receptive Communication,recognizing and understanding words and gestures as communication,"Receptive language is the capacity to comprehend verbal and non-verbal messages provided by others in the environment. It requires the ability to appreciate the nuances of communication (e.g., gesture, body posture, rhythm, volume, vocabulary, prosody, tone, etc.); each of these elements enhance the effectiveness and comprehension of communicative intent. In order to receive communication, the individual must attend to the critical elements of language, as well as the ability to focus on and interpret communication directed specifically at the individual, as well as more broadly with the environment. These skills grow in complexity over the course of the lifespan, however, there is considerable variability amongst individuals that depends on their biological make-up, cognitive ability, culture, and social experience."
,,1,,,cooperation,Social Cooperation,Frameworks,Cooperation,0.645,0.846,ACT Holistic Framework,"Being respectful, polite, collaborative, and skilled at working through conflict with other people",
,,,1,,Managing Strong Feelings,Emotion Regulation/Reactivity,Clinical scales,Managing Strong Feelings,0.644,0.944,Emotional Regulation,Handling intense emotions appropriately,"How well a student copes with powerful emotions like anger, frustration, excitement, or disappointment without becoming overwhelmed or acting out"
,,,,,persistence,Perseverance,Frameworks,persistence,0.644,0.887,OECD,Persevering in tasks and activities until they get done.,
,,,,,caring/compassion,Empathy,Frameworks,empathy,0.644,0.755,The Five Cs Model of Positive Youth Development,A sense of sympathy and empathy for others.,
,,,1,,Physical Self-Regulation,Self-Control,Claude Opus 4.5,Self-Regulation,0.641,0.741,Behavioral Self-Control,Managing body and movements appropriately,"The student's ability to control their physical actions, including staying seated when expected, keeping hands to self, and modulating activity level to match the situation."
,,,,1,Engagement with Learning,Social Engagement,GPT 5.2 Thinking,Class Participation,0.641,0.759,Academic Engagement,showing interest and involvement in learning activities,"Engagement with learning reflects how much a student is mentally and behaviorally involved in instruction and learning tasks. In the classroom, it may show up as attending to lessons, participating appropriately, asking questions, and staying involved even when tasks are challenging. Low engagement may look like frequent disengagement, minimal participation, or avoidance of learning activities."
,,,1,,Managing Strong Feelings,Emotion Regulation/Reactivity,Claude Opus 4.5,Managing Strong Feelings,0.64,0.944,Emotional Regulation,Ability to cope with intense emotions,The extent to which a student can recognize and manage powerful emotions such as anger
,,,1,,Organization,Planning and Organization,Clinical scales,Organization,0.64,0.944,Attention and Focus,Ability to plan and manage tasks and materials,"The student's capacity to keep track of belongings, manage time, prioritize tasks, and maintain orderly approaches to schoolwork and daily activities"
,,1,,1,Social Engagement,Social Communication,FACETS,Social Engagement,0.64,0.885,Interacting with Others,engaging in social behavior,"Social engagement is the combination of intent to form and maintain social interactions combined with the appropriate and flexible application of social speech, cues, gestures, and behaviors (e.g., smiling, visual regard, hand shaking/bowing, etc.). Social engagement directs these behaviors toward individuals or groups, with the goal of establishing and maintaining reciprocal, social transactions and relationships."
,,,1,,Rule-Following,Compliance,Claude Opus 4.5,Rule Following,0.639,0.982,Behavioral Self-Control,Adhering to classroom and school expectations,"The extent to which the student understands and complies with established rules, routines, and behavioral expectations without requiring constant reminders or supervision."
,,1,,1,Social Skills,Social Communication,Clinical scales,Social Skills,0.639,0.963,Social Relationships,Interacting appropriately,"The student's use of appropriate social behaviors such as sharing, taking turns, conversation skills, and reading social cues."
,,1,,1,Social Skills,Social Communication,Clinical scales,Social Skills,0.639,0.963,Social Connections,Interacting appropriately with others,"The student's competence in reading social cues, taking turns in conversation, showing empathy, and behaving appropriately in social situations"
,,,,,plans/organizes,Planning and Organization,Frameworks,Task Planning,0.639,0.684,Employability Skills,"Student plans steps, procedures, and/or approaches for addressing tasks. This occurs naturally in most assignments, ranging from solving one problem to completing a long-term project.",
,,,1,,conveys information in writing,Writing,Frameworks,communicates,0.639,0.711,Employability Skills,"Student relies on writing skills to organize lab reports, posters, presentation materials and to take notes and reply to essay questions.",
,,,1,,Rule Following,Compliance,Claude Opus 4.5,Rule Following,0.638,0.983,Behavioral Control,Adherence to expectations,"The degree to which the student complies with classroom rules, school policies, and adult directives with or without direct supervision."
,,1,,,responsibility,Responsibility for Self & Others,Frameworks,responsibility,0.638,0.809,Kenya TVET Values and Life Skills (VaLI) Framework,"Students are able to recognize their role and function and proactively carrying it out to the best of their ability including caring for personal property, engaging in assigned roles and duties at home, school and in the wider community. The student should exhibit qualities such as accountability, diligence, self-drive, determination, and excellence",
,1,,,1,self awareness,Self-Confidence,Frameworks,self-awareness,0.638,0.77,Pratham Life Skills Framework,recognizing strengths and weaknesses identifying emotions self reflection self confidence,
,,,,,Self-Worth,Self-Confidence,Clinical scales,Self-Worth,0.637,0.914,Emotional Well-Being,Confidence and positive self-regard,"The student's sense of personal value, competence, and confidence in their own abilities and worthiness"
,,1,,,social competence,Social Communication,Frameworks,Social Skills,0.637,0.783,MELQO MODEL Framework,"Social competence, or how well children develop and maintain relationships with peers and adults, is a construct that includes the ability to coexist and interact with others in a competent manner – essentially getting along with other children and adults, and being part of a social group. Social competence is an important developmental skill that children start learning from the moment they are born and which forms the foundation for a social human being.",
,,,1,,Rule Following,Compliance,Clinical scales,Rule Following,0.636,0.983,Behavior,Adhering to expectations,"The student's willingness and ability to follow classroom rules, school expectations, and adult directions."
,,,1,,working memory,Memory/Recall,Frameworks,working memory and meta-cognition,0.636,0.709,MELQO MODEL Framework,"Working memory is defined as the ability to store and mentally manipulate memory contents (Baddeley and Hitch, 1974; Davidson et al., 2006). Working memory is positively related to general intellectual functioning, mathematics and reading comprehension (Monette et al., 2011; Passolunghi et al., 2007; Swanson and Jerman, 2007; Lesaux et al., 2007). Issues with working memory are associated with difficulty following multistep directions, forgetfulness and inattention (Bignell and Cain, 2007; Engle et al., 1991; Gathercole et al., 2006). Verbal working memory is a weak but significant predictor of attentional ability in everyday activities, such as remembering long sentences and phone numbers (Groth-Marnat and Baker, 2003). Working memory is similarly important for learning, and may be closely related to inhibitory control. In young children (2 to 6 years old), measures of working memory and inhibitory control are strongly related to one another and can be assessed using the same tasks (Wiebe et al., 2008).",
,,1,,,self-management,Self-Control,Frameworks,self-management,0.636,0.893,Singapore Framework for 21CC and Student Outcomes,"A person who manages himself effectively is able to manage his own emotions, exercise self-discipline and display strong goal-setting and organizational skills.",
,,,1,,cognitive and impulse control,Self-Control,Frameworks,Impulse Control,0.636,0.72,"Social, Emotional, and Ethical (SEE) Learning Framework","Sustain attention on an object, task, or experience, avoiding distraction.",
,,1,,1,communication and collaboration,Social Communication,Frameworks,Collaboration,0.635,0.756,Kenya BECF Core Competencies for Basic Education,"Communication is the act of transferring information from one place to another, whether vocally, visually, or non-verbally. The discipline of communication focuses on how people use messages to generate meanings within and across various contexts, cultures, channels, and media. The discipline promotes the effective and ethical practice of human communication. Collaboration is the process of two or more people or organizations working together to realize shared goals. Collaboration may require leadership, although this can be social within decentralized or egalitarian groups or teams that work collaboratively in relation to gaining greater resources, recognition and motivation.",
,,,1,,Impulse Control,Self-Control,Clinical scales,Impulse Control,0.634,0.987,Activity Level,Thinking before acting,"The student's ability to pause, consider consequences, and regulate impulsive responses before acting or speaking."
,,,,,empathy,Empathy,Frameworks,empathy,0.634,0.887,OECD,Kindness and caring for others and their well-being that leads to valuing and investing in close relationships.,
,,,,,Getting Along with Others,Social Cooperation,Clinical scales,Cooperation,0.632,0.745,Social Connections,Cooperative interaction with peers,"A student's general ability to interact positively with other students—sharing, taking turns, resolving conflicts, and being accepted by the peer group"
,,1,,,Sleep-Related Concerns,Sleep Disturbance,Clinical scales,Sleep-Related Concerns,0.631,0.971,Physical Well-Being,Signs of inadequate or poor sleep,"Observable indicators that the student may not be getting adequate rest, including fatigue, difficulty waking, or mentions of sleep problems"
,,,,,self-management,Self-Control,Frameworks,self-management,0.631,0.832,UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework,"A core life skill, highlighted first in its Individual Dimension towards personal empowerment, self-management, or both self-managing and being self-managed, is the individual ability to regulate and monitor one’s behaviours, emotions, feelings and impulses. Thus, it constitutes a broad category of related skills that includes self-control, self-efficacy and selfawareness, as well as positive attitude, reliability, self-presentation and is strongly linked with the core life skill of resilience. These have wide applicability in all domains of life, from personal relationships at home to peer-relationships at school, and have been identified as common employability skills applicable to a range of jobs (Blades et al., 2012).",
,,,,,"ability to manage emotion in oneself and others by moderating negative emotions and enhancing pleasant ones, without repressing or exaggerating information they may convey",Emotion Regulation/Reactivity,Frameworks,emotion management,0.63,0.809,Emotional Intelligence,"Ability to manage emotion in oneself and others by moderating negative emotions and enhancing pleasant ones, without repressing or exaggerating information they may convey.",
,,,,1,social awareness,Social Communication,Frameworks,social awareness,0.63,0.984,MESH,"Social Awareness is the ability to take the perspective of and empathize with others from diverse backgrounds and cultures, to understand social and ethical norms for behavior, and to recognize family, school, and community resources and supports.",
,,,1,,Emotional Intensity,Emotion Regulation/Reactivity,Claude Opus 4.5,Emotional Expression,0.629,0.652,Emotional Regulation,Strength of emotional reactions,"The magnitude of the student's emotional responses relative to the triggering situation, including both positive and negative emotions."
,,1,,,Sleep-Related Concerns,Sleep Disturbance,Clinical scales,Sleep-Related Concerns,0.628,0.971,Physical Well-Being,Rest and tiredness,"Observable signs that the student may be experiencing inadequate sleep, fatigue, or sleep-related difficulties."
,,,1,,Communication Confidence,Self-Confidence,GPT 5.2 Thinking,Academic Confidence,0.628,0.682,Expressive Communication,"willingness to speak up, share ideas, and participate verbally","Communication confidence reflects how comfortable a student feels speaking in different school situations, such as answering questions, reading aloud, presenting, or joining discussions. Low confidence may look like avoiding speaking, very quiet speech, or reluctance to share ideas even when prepared. High confidence supports participation but should still be balanced with listening and turn-taking."
,,,1,,Verbal Expression,Expressive Language,Claude Opus 4.5,Verbal Expression,0.627,0.96,Communication,Clarity and effectiveness of spoken language,"The student's ability to express thoughts, needs, and ideas clearly through speech, including vocabulary use, sentence structure, and coherent organization of ideas."
,,,,1,work creatively with others,Creativity,Frameworks,think creatively,0.626,0.728,21st Century Learning,"Develop, implement and communicate new ideas to others effectively; Be open and responsive to new and diverse perspectives; incorporate group input and feedback into the work; Demonstrate originality and inventiveness in work and understand the real world limits to adopting new ideas; View failure as an opportunity to learn; understand that creativity and innovation is a long-term, cyclical process of small successes and frequent mistakes",
,1,,,1,self-awareness,Self-Image,Frameworks,self-awareness,0.626,0.973,Building Blocks for Learning,The ability to accurately recognize one’s emotions and thoughts and their influence on behavior. This includes accurately assessing one’s strengths and limitations and possessing a well-grounded sense of confidence and optimism.,
,,1,,1,resilience/persistence,Perseverance,Frameworks,persistence,0.626,0.783,Vision of the Haitian Child in Society: Social Emotional Framework,Task Persistence Flexible Thinking Hope in the future/Optimism Coping with adversity and stress,
,,,1,,Distractibility,Attention/Concentration,Claude Opus 4.5,Distractibility,0.625,0.955,Attention and Focus,Susceptibility to off-task behavior,"How easily the student's attention is pulled away from the current task by environmental stimuli, internal thoughts, or peer activity."
,,,1,,cooperation during learning experiences,Social Cooperation,Frameworks,Cooperation,0.625,0.743,K-3 SEL Standards (Connecticut),Full set of indicators in framework.,
,,,1,,accepting differences,Tolerance,Frameworks,appreciating diversity and difference,0.624,0.699,ACT Holistic Framework,"Being open-minded and accepting of ideas, cultures, and ways of doing things that are different from his or her own",
,,,1,,students demonstrate honestly/integrity,Integrity and Honesty,Frameworks,integrity,0.624,0.8,K-12 SEL Standards (Anchorage),Full set of indicators in framework.,
,,,1,,reading skills,Reading,Frameworks,Reading,0.623,0.851,Employability Skills,"Student applies/demonstrates reading skills by interpreting written instructions/project directions and constructing responses, using print and online materials as resources, completing worksheets, and seeking clarification about what they have read.",
,,1,,,Cooperation,Social Cooperation,Claude Opus 4.5,Cooperation,0.622,0.941,Social Relationships,Working effectively with others,The extent to which a student can collaborate
,,,,,Reading,Writing,FACETS,Reading,0.622,0.755,Academic Skills and School Functioning,cognitive and mechanical elements of reading comprehension,"Reading is the ability to decode written symbols for purposes of communication and learning. While reading most commonly focuses on symbols referred to as “letters” or “characters” from alphabets, in fact, decoding any symbols is a form of reading, including symbols such as logos, flags, and other devices. Reading most languages requires understanding of components of writing include grammar, syntax, punctuation, sentences, paragraphs etc."
,,,,,Writing,Reading,FACETS,conveys information in writing,0.622,0.639,Academic Skills and School Functioning,cognitive and mechanical elements of written expression,"Writing is the graphical representation of ideas that consists of two separate and distinct actions. The first is the cognitive process of changing an idea into the symbols (letters, characters, or other) in preparation for writing. The second is the motor process of producing the “written” symbols that present an idea in whatever medium is chosen (paper, computer screen, etc.), in a fashion that is potentially comprehensible by others. While letters and complex symbols form the basis of developmentally sophisticated writing, the simple graphic productions (e.g., scribbles) of young children and others with limited skills, can be very effective communication tools."
,,,1,,Written Expression,Writing,Claude Opus 4.5,Verbal Expression,0.62,0.757,Learning and Academics,Ability to communicate through writing,"The student's capacity to convey ideas, information, and knowledge through written work, including organization, clarity, and age-appropriate mechanics."
,,,1,,Task Planning,Planning and Organization,Claude Opus 4.5,Task Planning,0.62,0.966,Organization and Planning,Breaking down and sequencing work,"The student's capacity to think ahead about how to approach assignments or projects, including identifying steps, allocating time, and anticipating what will be needed."
,,,1,,General Worry,Worries/Anxiety/Fears,Clinical scales,General Worry,0.62,0.975,Worry and Fear,Overall tendency to worry,"The extent to which the student shows excessive or persistent worry about various aspects of life, school, or the future."
,,,1,,listening to others with understanding and empathy,Empathy,Frameworks,empathy building,0.62,0.721,Habits of Mind,"Highly effective people spend an inordinate amount of time and energy listening (Covey, 1989). Some psychologists believe that the ability to listen to another person, to empathize with, and to understand their point of view is one of the highest forms of intelligent behavior. Being able to paraphrase another person's ideas, detecting indicators (cues) of their feelings or emotional states in their oral and body language (empathy), accurately expressing another person's concepts, emotions and problems—all are indications of listening behavior (Piaget called it ""overcoming ego-centrism""). They are able to see through the diverse perspectives of others. They gently attend to another person demonstrating their understanding of and empathy for an idea or feeling by paraphrasing it accurately, building upon it, clarifying it, or giving an example of it.",
,,,1,,Emotional Recovery,Emotion Regulation/Reactivity,Claude Opus 4.5,Emotional Recovery,0.619,0.955,Emotional Regulation,Bouncing back after becoming upset,"How quickly and effectively the student returns to a calm, regulated state after experiencing strong negative emotions such as anger, sadness, or disappointment."
,,,,,empathy,Empathy,Frameworks,empathy,0.619,0.74,K-3 SEL Standards (Connecticut),Full set of indicators in framework.,
,,,,1,social awareness,Social Communication,Frameworks,social awareness,0.619,0.937,Singapore Framework for 21CC and Student Outcomes,"A person who has social awareness is able to accurately discern different perspectives, recognize and appreciate diversity and demonstrate empathy and respect for others.",
,,,,,empathy,Empathy,Frameworks,empathy,0.618,0.687,Room to Read Life Skills Education Learning Outcomes,"Girls use empathetic words towards their peers, friends, teacher, and family. Girls demonstrate empathetic behavior to others when they are in need of support and care. Girls understand that modeling empathetic communication and behaviors for younger girls in school and the community helps them learn how to be empathetic.",
,,,1,,Distractibility,Attention/Concentration,Claude Opus 4.5,Distractibility,0.617,0.955,Attention and Focus,Tendency to be pulled off-task,"How easily the student's attention is drawn away from the current activity by external stimuli (sounds, movement, peers) or internal thoughts unrelated to the task."
,,,1,,Distractibility,Attention/Concentration,Clinical scales,Distractibility,0.617,0.899,Attention & Focus,Susceptibility to losing focus,"How easily a student is pulled away from tasks by noises, movements, or other environmental stimuli, and how well they can filter out irrelevant information"
,,,,1,social awareness and interpersonal skills,Social Communication,Frameworks,social awareness,0.615,0.751,K-3 SEL Standards (Connecticut),Full set of indicators in framework.,
,,,1,,Task Organization,Planning and Organization,Clinical scales,Task Planning,0.614,0.825,Organization & Planning,Structuring and sequencing work,"How well a student can organize tasks and activities—including breaking work into steps, planning ahead, and approaching assignments systematically"
,,,1,,navigating emotions,Emotion Regulation/Reactivity,Frameworks,attending to emotions and feelings,0.614,0.655,"Social, Emotional, and Ethical (SEE) Learning Framework",Respond constructively to impulses and emotions and cultivate the behaviors and attitudes that facilitate one’s long-term well-being,
,,,,,Self-Worth,Self-Confidence,Clinical scales,Self-Worth,0.613,0.972,Emotional Well-Being,How the student views themselves,"The student's expressed or apparent sense of personal value, confidence in abilities, and overall self-regard."
,,,,,Honesty and Integrity,Integrity and Honesty,Clinical scales,Honesty,0.612,0.906,Behavior and Conduct,Truthfulness and respect for property,"The student's tendency to be honest, avoid deception, and respect the belongings and rights of others"
,,,,1,social cognition,Empathy,Frameworks,empathy,0.612,0.736,MELQO MODEL Framework,"Social cognition captures children’s abilities to think about and comprehend social relationships with others, recognize the feelings of others, and, if required, take actions that are meant to make others feel better. Social cognition encompasses empathy – children’s abilities to read others’ emotions and respond appropriately – as well as prosocial behaviour that includes helping others who may be in distress. Understanding the feelings of oneself and others includes the ability to (1) comprehend basic emotions (e.g. happiness, sadness and anger) and how these emotions are expressed, as well as their antecedents, causes and consequences; (2) recognize that emotions are complex (e.g. two individuals can feel two different emotions in response to the same event); and (3) distinguish rules for how to display basic and more complex emotions (e.g. shame or guilt). Accurate interpretation of the feelings of others provides important information about social situations and what constitutes appropriate responses.",
,,,1,,creative problem-solving,Creativity,Frameworks,problem solving,0.61,0.704,Room to Read Life Skills Education Learning Outcomes,Girls can identify 2-3 steps that can be taken to solve a problem creatively or resolve a conflict. When girls are dealing with a problem or conflict situation they are able to be creative and choose an alternative plan or resolution. Girls demonstrate how to creatively manage conflicts and solve problems when working with peers.,
,,1,,,cooperation,Social Cooperation,Frameworks,cooperation,0.608,0.782,OECD,Living in harmony with others and valuing interconnectedness among all people.,
,,,1,,inhibitory control,Self-Control,Frameworks,control,0.607,0.711,MELQO MODEL Framework,"Inhibitory control refers to the ability to suppress the processing of irrelevant yet dominant stimuli or responses (Nigg, 2000). Inhibitory control, along with flexible switching, has been identified as one of the first executive function skills to emerge, developing quickly during the pre-school years (Diamond and Doar, 1989; Diamond et al., 2002). Inhibitory control skills help children suppress inappropriate behaviours and thoughts that may distract them from instruction (Alexander et al., 1993; Blair, 2002; Sa?ez et al. 2012). Further, these skills are essential for cognition, educational attainment and social functioning (Blair, 2002; Espy et al., 2004). Measured prior to kindergarten, inhibitory control predicts mathematics skills in kindergarten; when measured in kindergarten, it predicts mathematics and early literacy skills in primary school (Blair and Razza, 2007).",
,,,1,,Work Habits,Habits/Routines,Clinical scales,Study and Practice Habits,0.606,0.676,Academic Engagement,Approach to schoolwork,"The student's consistency, care, and thoroughness when completing assignments and managing academic responsibilities."
,,,,,Emotional Stability,Emotion Regulation/Reactivity,Clinical scales,Mood Stability,0.606,0.865,Emotional Regulation,Consistency of mood and reactions,"The steadiness of the student's emotional state, including predictability of responses and recovery from emotional upset"
,,1,,1,sociability,Social Communication,Frameworks,sociability,0.606,0.886,ACT Holistic Framework,Seeking out and enjoying situations involving interpersonal interaction and building relationships with others,
,,,,1,thinking about our thinking (metacognition),Thinking Speed,Frameworks,thinking and metacognition,0.606,0.819,Habits of Mind,"Occurring in the neocortex, metacognition is our ability to know what we know and what we don't know. It is our ability to plan a strategy for producing what information is needed, to be conscious of our own steps and strategies during the act of problem solving, and to reflect on and evaluate the productiveness of our own thinking. While ""inner language,"" thought to be a prerequisite, begins in most children around age five, metacognition is a key attribute of formal thought flowering about age eleven. Probably the major components of metacognition are developing a plan of action, maintaining that plan in mind over a period of time, then reflecting back on and evaluating the plan upon its completion. Planning a strategy before embarking on a course of action assists us in keeping track of the steps in the sequence of planned behavior at the conscious awareness level for the duration of the activity. It facilitates making temporal and comparative judgments, assessing the readiness for more or different activities, and monitoring our interpretations, perceptions, decisions and behaviors. An example of this would be what superior teachers do daily: developing a teaching strategy for a lesson, keeping that strategy in mind throughout the instruction, then reflecting back upon the strategy to evaluate its effectiveness in producing the desired student outcomes. Intelligent people plan for, reflect on, and evaluate the quality of their own thinking skills and strategies. Metacognition means becoming increasingly aware of one's actions and the effect of those actions on others and on the environment; forming internal questions as one searches for information and meaning, developing mental maps or plans of action, mentally rehearsing prior to performance, monitoring those plans as they are employed--being conscious of the need for midcourse correction if the plan is not meeting expectations, reflecting on the plan upon completion of the implementation for the purpose of self-evaluation, and editing mental pictures for improved performance.",
,,,1,,Impulse Control,Self-Control,Claude Opus 4.5,Impulse Control,0.605,0.858,Behavior,Ability to think before acting,The degree to which a student can pause
,,1,,1,Daily Self-Care Routines,Morning Routine,GPT 5.2 Thinking,Self-Directed Routines,0.605,0.725,General Well-Being,managing daily self-care routines that support comfort at school,"Daily self-care routines include actions that help a student stay comfortable and ready to learn (e.g., basic hygiene, dressing appropriately for the day, managing personal items, and attending to basic needs). Strong routines support independence and peer comfort. Difficulty may show as frequent forgetfulness of basic needs, needing repeated reminders for hygiene-related tasks, or discomfort that interferes with participation."
,,,1,,Emotional Recovery,Emotion Regulation/Reactivity,Claude Opus 4.5,Emotional Recovery,0.603,0.955,Emotional Regulation,Returning to baseline after upset,The time and support needed for the student to calm down and return to a regulated state after experiencing strong emotions.
,,,1,,positive view of personal future,Future Outlook,Frameworks,optimism,0.603,0.622,Developmental Assets (ages 12-18),Young person is optimistic about her or his personal future.,
,,1,,,self management,Self-Control,Frameworks,self-management,0.603,0.789,Pratham Life Skills Framework,regulating emotions developing self esteem self discipline self motivation goal setting time management self care resilience,
,,,,1,social awareness,Social Communication,Frameworks,social awareness,0.602,0.984,Building Blocks for Learning,"The ability to take the perspective of, and empathize with, others from diverse backgrounds and cultures, to understand social and ethical norms for behavior, and to recognize family, school and community resources and supports.",
,,,,1,Listening and Comprehension,Reading,Claude Opus 4.5,Listening Comprehension,0.601,0.929,Communication,Understanding spoken information,"The student's ability to attend to, process, and understand verbal instructions, explanations, and conversations."
,,,,,Self-Worth,Self-Confidence,Clinical scales,Self-Worth,0.6,0.978,Mood & Outlook,Sense of personal value,"How a student feels about themselves—including their confidence in their abilities, sense of being liked and valued, and overall self-regard"
,,,,1,"ability to identify emotion in one's physical states, feelings, and thoughts",Emotion Regulation/Reactivity,Frameworks,"ability to identify emotions in other people, designs, artwork, etc., through language, sound, appearance, and behavior",0.6,0.854,Emotional Intelligence,"Ability to identify emotion in one's physical states, feelings, and thoughts",
,,,1,,skills for managing stress,Stress Management,Frameworks,self management,0.6,0.691,WHO Skills for Health,time management positive thinking relaxation techniques,
,,1,,,Effort and Persistence,Perseverance,Claude Opus 4.5,Persistence,0.599,0.848,Academic Engagement,Willingness to work hard and keep trying,The degree to which a student invests energy in learning tasks and continues working through challenges or setbacks.
,,,1,,Verbal Expression,Expressive Language,Claude Opus 4.5,Verbal Expression,0.599,0.96,Communication,Conveying thoughts through speech,"The student's ability to articulate ideas, needs, and feelings clearly and effectively through spoken language."
,,,,,Inadequate Self-Care/Hygiene,Toileting Problems,FACETS,Daily Self-Care Routines,0.599,0.554,General Well-Being,not maintaining appropriate cleanliness,"Hygiene is a group of practices that are primarily designed to maintain cleanliness and prevention of disease. However, in addition to a health component, there is a strong social component to hygiene that is culturally driven. This includes grooming practices, attire, and general standards of tidiness. To meet the basic health obligations for hygiene requires regular washing and bathing of the body as well as washing clothes. To meet the social obligations of hygiene not only includes cleanliness, but also attending to standards for physical presentation. This includes various elements and depends on culture and environment. Some factors may include the type of clean clothing, cleaning teeth, arranging hair, trimming and painting nails, the use of makeup, management of body odor, etc."
,,,,,Toileting Problems,Inadequate Self-Care/Hygiene,FACETS,Daily Self-Care Routines,0.599,0.536,General Well-Being,managing toileting behaviors and routines,"Managing toileting and hygiene is a basic social and behavioral skill that is essential for successful adaptive function. It includes self-management of excretions, as well as cleaning oneself. Intrinsic to managing toileting and hygiene, is a personal understanding of one’s own daily rhythms and the extent to which one can control them, in the context of other environmental events (e.g., school/work, leisure, sleep, meals etc.). Therefore successful toileting and hygiene includes proper scheduling and the use of socially-appropriate behaviors to complete toileting and hygiene tasks."
,,1,,1,sociability,Social Communication,Frameworks,sociability,0.599,0.886,OECD,"Able to approach others, both friends and strangers, initiating and maintaining social connections.",
