"Source","Category","Subcategory","Brief Description","Description","Max FACETS similarity value","Max FACETS similarity","Max non-FACETS similarity value","Max non-FACETS similarity","Redundant FACETS","Redundant non-FACETS"
"Claude Opus 4.5","Behavioral Control","Rule Following","Adherence to expectations","The degree to which the student complies with classroom rules, school policies, and adult directives with or without direct supervision.","0.638","Compliance","0.983","Rule Following","Yes","Yes"
"Claude Opus 4.5","Behavioral Control","Physical Conduct","Bodily interactions with others","How the student uses their body in relation to others, including maintaining appropriate physical boundaries and refraining from harmful physical actions.","0.397","Compliance","0.947","Physical Conduct","Yes","Yes"
"Claude Opus 4.5","Behavioral Control","Verbal Conduct","Appropriateness of speech","The student's use of language toward others, including tone, word choice, and refraining from hurtful, threatening, or inappropriate verbal behavior.","0.456","Assertiveness","0.915","Verbal Conduct","Yes","Yes"
"Claude Opus 4.5","Self-Perception","Self-Confidence","Belief in own abilities","The student's expressed or demonstrated belief that they can successfully accomplish tasks, learn new material, and meet challenges.","0.916","Self-Confidence","0.98","Self-Confidence","Yes","Yes"
"Claude Opus 4.5","Self-Perception","Self-Worth","Sense of personal value","The student's apparent sense of being a valued, likable, and worthwhile person, as reflected in statements and behavior.","0.59","Self-Confidence","0.979","Self-Worth","Yes","Yes"
"Claude Opus 4.5","Self-Perception","Academic Self-View","Beliefs about learning ability","How the student perceives their own academic capabilities and potential for success in school-related tasks.","0.541","Self-Image","0.835","Academic Self-Belief","Yes","Yes"
"Claude Opus 4.5","Motivation and Engagement","Academic Motivation","Drive to learn and achieve","The student's apparent internal desire to engage with academic content, complete schoolwork, and pursue educational goals.","0.957","Academic Motivation","0.815","Motivation","Yes","Yes"
"Claude Opus 4.5","Motivation and Engagement","Initiative","Self-starting behavior","The degree to which the student independently begins tasks, seeks out learning opportunities, or takes action without prompting.","0.415","Assertiveness","0.893","Initiative","Yes","Yes"
"Claude Opus 4.5","Motivation and Engagement","Persistence","Continuing despite difficulty","The student's tendency to keep working on challenging tasks rather than giving up, including bouncing back after initial failures.","0.692","Perseverance","0.978","Persistence","Yes","Yes"
"Claude Opus 4.5","Motivation and Engagement","Curiosity","Interest in learning new things","The student's demonstrated desire to explore, ask questions, and learn about new topics or ideas.","0.522","Academic Motivation","0.936","Curiosity","Yes","Yes"
"Claude Opus 4.5","Adaptability","Response to Change","Handling new situations","How the student reacts to changes in routines, expectations, environments, or activities, including flexibility versus rigidity.","0.447","Transitions","0.761","Adaptability","Yes","Yes"
"Claude Opus 4.5","Adaptability","Transitions","Moving between activities","The ease with which the student shifts from one task, setting, or activity to another without significant distress or behavioral disruption.","0.733","Transitions","0.975","Transitions","Yes","Yes"
"Claude Opus 4.5","Adaptability","Problem-Solving Approach","Tackling challenges","The strategies the student employs when facing obstacles, including flexibility in trying different approaches versus becoming stuck.","0.476","Learning Strategies","0.763","Problem Solving","Yes","Yes"
"Claude Opus 4.5","Organization and Planning","Material Management","Keeping track of belongings","The student's ability to organize, locate, and maintain their school supplies, assignments, and personal belongings.","0.341","Academic Motivation","0.994","Material Management","No","Yes"
"Claude Opus 4.5","Organization and Planning","Time Awareness","Managing time effectively","The student's sense of time, including awareness of deadlines, pacing during tasks, and allocating appropriate time to activities.","0.499","Screen Time","0.981","Time Awareness","Yes","Yes"
"Claude Opus 4.5","Organization and Planning","Task Planning","Breaking down and sequencing work","The student's ability to understand what steps are needed to complete an assignment and approach tasks in a logical order.","0.654","Planning and Organization","0.966","Task Planning","Yes","Yes"
"Claude Opus 4.5","Communication","Verbal Expression","Conveying thoughts through speech","The student's ability to articulate ideas, needs, and feelings clearly and effectively through spoken language.","0.599","Expressive Language","0.96","Verbal Expression","Yes","Yes"
"Claude Opus 4.5","Communication","Listening and Comprehension","Understanding spoken information","The student's ability to attend to, process, and understand verbal instructions, explanations, and conversations.","0.601","Reading","0.929","Listening Comprehension","Yes","Yes"
"Claude Opus 4.5","Communication","Nonverbal Communication","Body language and gestures","The student's use and interpretation of facial expressions, body posture, eye contact, and gestures in social interactions.","0.575","Expressive Language","0.81","Understanding Nonverbal Cues","Yes","Yes"
"Claude Opus 4.5","Worry and Stress","Anxious Behaviors","Signs of worry or nervousness","Observable behaviors suggesting the student experiences excessive worry, nervousness, or fear, including avoidance, reassurance-seeking, or physical signs of tension.","0.541","Worries/Anxiety/Fears","0.703","Worry and Nervousness","Yes","Yes"
"Claude Opus 4.5","Worry and Stress","Stress Responses","Reactions to pressure","How the student responds to stressful situations such as tests, deadlines, social pressures, or unexpected events.","0.693","Stress Management","0.977","Stress Responses","Yes","Yes"
"Claude Opus 4.5","Worry and Stress","Coping Strategies","Methods for managing stress","The approaches the student uses to handle stressful situations, including whether strategies are effective and appropriate.","0.558","Learning Strategies","0.84","Coping Skills","Yes","Yes"
"Claude Opus 4.5","Physical Well-Being","Energy Level","Observable vitality and alertness","The student's typical level of physical energy, alertness, and vitality during the school day.","0.596","Activity Level","0.941","Energy Level","Yes","Yes"
"Claude Opus 4.5","Physical Well-Being","Somatic Complaints","Reports of physical discomfort","The frequency with which the student reports or displays physical complaints such as headaches, stomachaches, or general discomfort without clear medical cause.","0.336","Sensory Reactivity","0.719","Physical Complaints","No","Yes"
"Claude Opus 4.5","Physical Well-Being","Fatigue Indicators","Signs of tiredness","Observable signs that the student is tired, sleepy, or lacking the physical or mental energy needed to engage in school activities.","0.366","Sleep Disturbance","0.572","Sadness Indicators","Yes","Yes"
"Claude Opus 4.5","Independence","Self-Direction","Working without supervision","The student's ability to work productively and stay on task without constant adult monitoring or guidance.","0.509","Self-Control","0.949","Self-Direction","Yes","Yes"
"Claude Opus 4.5","Independence","Help-Seeking","Appropriate requests for assistance","The student's ability to recognize when they need help and seek assistance appropriately, balancing independence with knowing when support is needed.","0.405","Academic Motivation","0.975","Help-Seeking","Yes","Yes"
"Claude Opus 4.5","Independence","Decision Making","Making age-appropriate choices","The student's ability to make reasonable decisions about their own behavior, work, and social interactions.","0.417","Planning and Organization","0.867","decision making","Yes","Yes"
"Frameworks","21st Century Learning","think creatively","Use a wide range of idea creation techniques (such as brainstorming); Create new and worthwhile ideas (both incremental and radical concepts); Elaborate, refine, analyze and evaluate their own ideas in order to improve and maximize creative efforts","","0.585","Creativity","0.732","thinks creatively","Yes","Yes"
"Frameworks","21st Century Learning","work creatively with others","Develop, implement and communicate new ideas to others effectively; Be open and responsive to new and diverse perspectives; incorporate group input and feedback into the work; Demonstrate originality and inventiveness in work and understand the real world limits to adopting new ideas; View failure as an opportunity to learn; understand that creativity and innovation is a long-term, cyclical process of small successes and frequent mistakes","","0.626","Creativity","0.728","think creatively","Yes","Yes"
"Frameworks","21st Century Learning","implement innovations","Act on creative ideas to make a tangible and useful contribution to the field in which the innovation will occur","","0.374","Creativity","0.624","implementation","Yes","Yes"
"Frameworks","21st Century Learning","reason effectively","Use various types of reasoning (inductive, deductive, etc.) as appropriate to the situation","","0.278","Creativity","0.565","make judgments and decisions","No","Yes"
"Frameworks","21st Century Learning","use systems thinking","Analyze how parts of a whole interact with each other to produce overall outcomes in complex systems","","0.384","Abstract Thinking","0.691","understanding interdependent systems","Yes","Yes"
"Frameworks","21st Century Learning","make judgments and decisions","Effectively analyze and evaluate evidence, arguments, claims and beliefs; Analyze and evaluate major alternative points of view; Synthesize and make connections between information and arguments; Interpret information and draw conclusions based on the best analysis; Reflect critically on learning experiences and processes","","0.302","Planning and Organization","0.598","decision making","No","Yes"
"Frameworks","21st Century Learning","solve problems","Solve different kinds of non-familiar problems in both conventional and innovative ways; Identify and ask significant questions that clarify various points of view and lead to better solutions","","0.48","Creativity","0.772","solves problems","Yes","Yes"
"Frameworks","21st Century Learning","communicate clearly","Articulate thoughts and ideas effectively using oral, written and nonverbal communication skills in a variety of forms and contexts; Listen effectively to decipher meaning, including knowledge, values, attitudes and intentions; Use communication for a range of purposes (e.g. to inform, instruct, motivate and persuade); Utilize multiple media and technologies, and know how to judge their effectiveness a priori as well as assess their impact; Communicate effectively in diverse environments (including multi-lingual)","","0.508","Social Communication","0.701","skillful communication","Yes","Yes"
"Frameworks","21st Century Learning","collaborate with others","Demonstrate ability to work effectively and respectfully with diverse teams; Exercise flexibility and willingness to be helpful in making necessary compromises to accomplish a common goal; Assume shared responsibility for collaborative work, and value the individual contributions made by each team member","","0.535","Social Cooperation","0.754","cooperation","Yes","Yes"
"Frameworks","21st Century Learning","access and evaluate information","Access information efficiently (time) and effectively (sources); Evaluate information critically and competently","","0.413","Reading","0.729","use and manage information","Yes","Yes"
"Frameworks","21st Century Learning","use and manage information","Use information accurately and creatively for the issue or problem at hand; Manage the flow of information from a wide variety of sources; Apply a fundamental understanding of the ethical/legal issues surrounding the access and use of information","","0.329","Reading","0.729","access and evaluate information","No","Yes"
"Frameworks","21st Century Learning","analyze media","Understand both how and why media messages are constructed, and for what purposes; Examine how individuals interpret messages differently, how values and points of view are included or excluded, and how media can influence beliefs and behaviors; Apply a fundamental understanding of the ethical/legal issues surrounding the access and use of media","","0.345","Screen Time","0.52","create media products","No","Yes"
"Frameworks","21st Century Learning","create media products","Understand and utilize the most appropriate media creation tools, characteristics and conventions; Understand and effectively utilize the most appropriate expressions and interpretations in diverse, multi-cultural environments","","0.313","Creativity","0.52","analyze media","No","Yes"
"Frameworks","21st Century Learning","apply technology effectively","Use technology as a tool to research, organize, evaluate and communicate information; Use digital technologies (computers, PDAs, media players, GPS, etc.), communication/networking tools and social networks appropriately to access, manage, integrate, evaluate and create information to successfully function in a knowledge economy; Apply a fundamental understanding of the ethical/legal issues surrounding the access and use of information technologies","","0.36","Screen Time","0.653","use and manage information","Yes","Yes"
"Frameworks","21st Century Learning","adapt to change","Adapt to varied roles, jobs responsibilities, schedules and contexts; Work effectively in a climate of ambiguity and changing priorities","","0.412","Transitions","0.747","Adjusting to Change","Yes","Yes"
"Frameworks","21st Century Learning","be flexible","Incorporate feedback effectively; Deal positively with praise, setbacks and criticism; Understand, negotiate and balance diverse views and beliefs to reach workable solutions, particularly in multi-cultural environments","","0.384","Tolerance","0.724","flexibility","Yes","Yes"
"Frameworks","21st Century Learning","manage goals and time","Set goals with tangible and intangible success criteria; Balance tactical (short-term) and strategic (long-term) goals; Utilize time and manage workload efficiently","","0.413","Planning and Organization","0.668","manages time","Yes","Yes"
"Frameworks","21st Century Learning","work independently","Monitor, define, prioritize and complete tasks without direct oversight","","0.39","Self-Control","0.726","works independently","Yes","Yes"
"Frameworks","21st Century Learning","be self-directed learners","Go beyond basic mastery of skills and/or curriculum to explore and expand one’s own learning and opportunities to gain expertise; Demonstrate initiative to advance skill levels towards a professional level; Demonstrate commitment to learning as a lifelong process; Reflect critically on past experiences in order to inform future progress","","0.437","Learning Strategies","0.682","self-direction","Yes","Yes"
"Frameworks","21st Century Learning","interact effectively with others","Know when it is appropriate to listen and when to speak; Conduct themselves in a respectable, professional manner","","0.402","Compliance","0.709","skillful communication","Yes","Yes"
"Frameworks","21st Century Learning","work effectively in diverse teams","Respect cultural differences and work effectively with people from a range of social and cultural backgrounds; Respond open-mindedly to different ideas and values; Leverage social and cultural differences to create new ideas and increase both innovation and quality of work","","0.365","Tolerance","0.651","collaborate with others","Yes","Yes"
"Frameworks","21st Century Learning","manage projects","Set and meet goals, even in the face of obstacles and competing pressures; Prioritize, plan and manage work to achieve the intended result","","0.4","Planning and Organization","0.629","manage goals and time","Yes","Yes"
"Frameworks","21st Century Learning","produce results","Demonstrate additional attributes associated with producing high quality products including the abilities to: Work positively and ethically, Manage time and projects effectively, Multi-task, Participate actively, as well as be reliable and punctual, Present oneself professionally and with proper etiquette, Collaborate and cooperate effectively with teams, Respect and appreciate team diversity, Be accountable for results","","0.383","Task Completion","0.575","dependability","Yes","Yes"
"Frameworks","21st Century Learning","guide and lead others","Use interpersonal and problem-solving skills to influence and guide others toward a goal; Leverage strengths of others to accomplish a common goal; Inspire others to reach their very best via example and selflessness; Demonstrate integrity and ethical behavior in using influence and power","","0.357","Social Communication","0.543","leadership","Yes","Yes"
"Frameworks","21st Century Learning","be responsible to others","Act responsibly with the interests of the larger community in mind","","0.461","Responsibility for Self & Others","0.677","responsibility","Yes","Yes"
"Frameworks","ACT Holistic Framework","english language arts","Literacy skills related to comprehension and capacity for use of written and oral language","","0.468","Reading","0.602","Reading","Yes","Yes"
"Frameworks","ACT Holistic Framework","mathematics","Relating and transforming numeric and symbolic quantities, including applications to data sets, patterns, space, and change","","0.799","Mathematics","0.624","Mathematical Thinking","Yes","Yes"
"Frameworks","ACT Holistic Framework","science","Gathering and interpreting observations, experimental data, and disciplinary content knowledge in order to predict and explain phenomena","","0.359","Mathematics","0.557","scientific principles/procedures","Yes","Yes"
"Frameworks","ACT Holistic Framework","collaborative problem solving","Contributing to group problem-solving processes","","0.492","Social Cooperation","0.678","Problem-Solving","Yes","Yes"
"Frameworks","ACT Holistic Framework","studying and learning","Using learning strategies to enhance comprehension, integration, and retention of learning","","0.722","Learning Strategies","0.659","Learning New Concepts","Yes","Yes"
"Frameworks","ACT Holistic Framework","technology and information literacy","Using technology to acquire, evaluate, transform, and share information","","0.446","Reading","0.652","digital literacy","Yes","Yes"
"Frameworks","ACT Holistic Framework","thinking and metacognition","Mastering modes of thinking that apply to broad classes of problems","","0.597","Thinking Speed","0.819","thinking about our thinking (metacognition)","Yes","Yes"
"Frameworks","ACT Holistic Framework","genuineness","Being sincere and truthful in interactions, appropriately giving others credit, and acknowledging his or her mistakes","","0.579","Integrity and Honesty","0.65","integrity","Yes","Yes"
"Frameworks","ACT Holistic Framework","fairness","Acting in ways that are intended to be unbiased and fair to everyone","","0.439","Tolerance","0.749","Fairness","Yes","Yes"
"Frameworks","ACT Holistic Framework","modesty","Being humble about achievements, presenting a realistic view of himself or herself, and avoiding boasting or acting superior to others","","0.471","Integrity and Honesty","0.533","self-confidence","Yes","Yes"
"Frameworks","ACT Holistic Framework","creativity","Generating original ideas, using existing ideas or things in new ways, and having an active imagination","","0.821","Creativity","0.935","creativity","Yes","Yes"
"Frameworks","ACT Holistic Framework","curiosity","Seeking out information to better understand a wide range of topic areas and/or obtaining a depth of understanding in one topic area that goes beyond what is required","","0.422","Academic Motivation","0.888","curiosity","Yes","Yes"
"Frameworks","ACT Holistic Framework","flexibility","Adapting to new environments and making adjustments to accommodate changes","","0.471","Thinking Speed","0.783","Flexibility","Yes","Yes"
"Frameworks","ACT Holistic Framework","accepting differences","Being open-minded and accepting of ideas, cultures, and ways of doing things that are different from his or her own","","0.624","Tolerance","0.699","appreciating diversity and difference","Yes","Yes"
"Frameworks","ACT Holistic Framework","stress tolerance","The degree to which a person can control feelings of anxiety and other negative emotions in order to function effectively in a range of situations","","0.648","Stress Management","0.689","stress management","Yes","Yes"
"Frameworks","ACT Holistic Framework","self-confidence","A tendency to be self-assured and to make decisions without needing a lot of input from others","","0.903","Self-Confidence","0.919","Self-Confidence","Yes","Yes"
"Frameworks","ACT Holistic Framework","assertiveness","Influencing others and preferring to be in charge in social interactions and group activities","","0.752","Assertiveness","0.886","assertiveness","Yes","Yes"
"Frameworks","ACT Holistic Framework","optimism","The degree to which a person expresses a positive mood and a positive outlook","","0.424","Emotion Regulation/Reactivity","0.766","optimism","Yes","Yes"
"Frameworks","ACT Holistic Framework","sociability","Seeking out and enjoying situations involving interpersonal interaction and building relationships with others","","0.606","Social Communication","0.886","sociability","Yes","Yes"
"Frameworks","ACT Holistic Framework","cooperation","Being respectful, polite, collaborative, and skilled at working through conflict with other people","","0.645","Social Cooperation","0.846","Cooperation","Yes","Yes"
"Frameworks","ACT Holistic Framework","perspective taking","Identifying, acknowledging, and understanding the emotions of others, showing concern for others, and considering the audience when providing information","","0.429","Empathy","0.517","student demonstrates awareness of other people's emotions and perspectives","Yes","Yes"
"Frameworks","ACT Holistic Framework","goodwill","Assuming others have good intentions, trusting others, being able to forgive and not holding grudges","","0.413","Integrity and Honesty","0.761","trust","Yes","Yes"
"Frameworks","ACT Holistic Framework","helpfulness","Helping others and being generous with his or her time and/or resources despite personal cost","","0.381","Empathy","0.826","Helpfulness","Yes","Yes"
"Frameworks","ACT Holistic Framework","patience","Tolerating frustrations presented by others or by situations without expressing irritation or hostility","","0.513","Irritability","0.818","Patience","Yes","Yes"
"Frameworks","ACT Holistic Framework","dependability","Reliably fulfilling responsibilities, meeting deadlines, and producing quality work","","0.387","Integrity and Honesty","0.715","responsibility","Yes","Yes"
"Frameworks","ACT Holistic Framework","order","Planning and organizing tasks and materials, creating schedules, monitoring progress, and paying close attention to details","","0.647","Planning and Organization","0.686","Organization","Yes","Yes"
"Frameworks","ACT Holistic Framework","persistence","Working hard, making progress on relevant tasks, and maintaining focus despite setbacks or difficulties","","0.706","Perseverance","0.9","Persistence","Yes","Yes"
"Frameworks","ACT Holistic Framework","rule consciousness","Following rules and procedures and complying with authority","","0.559","Compliance","0.574","Rule-Following","Yes","Yes"
"Frameworks","ACT Holistic Framework","goal striving","Setting challenging goals, doing tasks without being told, and working to improve or learn new skills","","0.39","Self-Control","0.681","goals","Yes","Yes"
"Frameworks","ACT Holistic Framework","self-control","Managing impulses and weighing the consequences of one’s behavior before acting","","0.793","Self-Control","0.807","self-control","Yes","Yes"
"Frameworks","ACT Holistic Framework","awareness","States of perceiving, feeling, or being conscious of oneself, education, work, and the gaps among them","","0.405","Empathy","0.735","self-awareness","Yes","Yes"
"Frameworks","ACT Holistic Framework","personal attributes","Relatively stable individual differences in characteristics that contribute to one’s thoughts, decisions, and behaviors","","0.526","Self-Image","0.494","self concept","Yes","Yes"
"Frameworks","ACT Holistic Framework","attitudes","Stable evaluations of people, objects, events, activities, and ideas that are manifested as feelings, beliefs, or positions","","0.421","Emotion Regulation/Reactivity","0.681","School Attitudes","Yes","Yes"
"Frameworks","ACT Holistic Framework","expectations","Anticipatory beliefs about the causes or consequences of education- or work-related decisions and actions (e.g., ability to positively influence one’s own occupation choice, belief that going to college will result in more job options later)","","0.38","Academic Motivation","0.54","optimism","Yes","Yes"
"Frameworks","ACT Holistic Framework","self-efficacies","Confidence in one’s ability to complete specific tasks related to identifying occupation and educational goals and accomplishing academic or career tasks successfully","","0.538","Self-Confidence","0.609","self-efficacy","Yes","Yes"
"Frameworks","ACT Holistic Framework","education and work knowledge","Specific information about the world of work and occupations, education, and training, and fundamental information applicable to developing and navigating one’s education and work path","","0.287","Activity Level","0.598","knowledge and skills","No","Yes"
"Frameworks","ACT Holistic Framework","supports","Environmental events or conditions that facilitate efforts to develop and navigate one’s education or career (e.g., people who provide assistance based on their knowledge and skills, organizations providing assistance through programs and services, and people who provide reassurance and encouragement)","","0.331","Academic Motivation","0.571","students demonstrate awareness of their external supports","No","Yes"
"Frameworks","ACT Holistic Framework","barriers","Environmental events or conditions (e.g., pressure from family, friends, expectations of peers, attitudinal, policy, financial, gender, cultural, physical, socioeconomic, access to resources, language) that impede progress toward one’s education or career goals","","0.34","Perseverance","0.536","Handling Challenges","No","Yes"
"Frameworks","ACT Holistic Framework","experience","Activities, paid or unpaid, in which the individual gains knowledge, skills, and attitudes that are relevant to education or work","","0.376","Play","0.583","openness to experience","Yes","Yes"
"Frameworks","ACT Holistic Framework","identity formation","Process of recognizing individual and distinct characteristics that define oneself and using these characteristics in combination when evaluating education and career information and making education/career decisions","","0.428","Self-Image","0.604","integrated identity","Yes","Yes"
"Frameworks","ACT Holistic Framework","exploration","Seeking and processing education and occupation information guided by knowledge of the self (e.g., identifying specific occupations that are of interest to you)","","0.458","Creativity","0.673","curiosity","Yes","Yes"
"Frameworks","ACT Holistic Framework","goals","Ideal, provisional aspirations or realistic and specified future education or career activities an individual wants to pursue","","0.439","Academic Motivation","0.763","Personal Goals","Yes","Yes"
"Frameworks","ACT Holistic Framework","career and education decision making","Process of making informed education- or occupation-related choices (using appropriate and effective decision-making strategies) under varied conditions (including difficulties related to indecision, a lack of certainty about one’s choice, and decision-making anxiety)","","0.327","Academic Motivation","0.682","decision making","No","Yes"
"Frameworks","ACT Holistic Framework","congruence (fit)","Degree to which an individuals’ personal characteristics are similar to or compatible with the corresponding characteristics of the chosen environment (e.g., college major program of study, occupation, job, organization)","","0.331","Creativity","0.451","Fairness","No","Yes"
"Frameworks","ACT Holistic Framework","action planning","Based on an individual’s education or occupation choice, thinking through and specifying the preparatory steps one would take as an informed consumer to achieve that goal; formulating a practical and realistic course of action (e.g., deciding on tasks and timelines, building strategies, determining and allocating resources)","","0.489","Planning and Organization","0.563","planning","Yes","Yes"
"Frameworks","ACT Holistic Framework","relational behaviors","Self-initiated behaviors in relation to others that facilitate understanding different aspects of the environment and further an individual’s progress toward education or work goals","","0.419","Social Communication","0.57","relationship skills","Yes","Yes"
"Frameworks","ACT Holistic Framework","roles","Understanding and managing identified life roles","","0.382","Responsibility for Self & Others","0.505","responsibility","Yes","Yes"
"Frameworks","ACT Holistic Framework","search behaviors","Self-initiated behaviors that pertain to seeking admittance to a particular education institution or employment at a particular work organization","","0.388","Academic Motivation","0.519","Help-Seeking","Yes","Yes"
"Frameworks","ACT Holistic Framework","implementation","Ongoing actions that take place to execute, monitor, and evaluate one’s plan for achieving goals (e.g., collecting and analyzing information to track progress, comparing one’s plan to what has been accomplished)","","0.401","Compliance","0.624","implement innovations","Yes","Yes"
"Frameworks","ACT Holistic Framework","lifelong learning","Extent to which an individual engages in ongoing behaviors to develop competence by acquiring new skills and knowledge and mastering new situations","","0.371","Learning Strategies","0.574","learning to learn","Yes","Yes"
"Frameworks","Big Five Personality Traits","conscientiousness","the tendency to be organized, responsible, and hardworking","","0.484","Perseverance","0.682","work ethic and conscientiousness","Yes","Yes"
"Frameworks","Big Five Personality Traits","openness to experience","the tendency to be open to new aesthetic, cultural, or intellectual experiences","","0.4","Creativity","0.707","Trying New Things","Yes","Yes"
"Frameworks","Big Five Personality Traits","neuroticism / emotional stability","Emotional stability is predictability and consistency in emotional reactions, with absence of rapid mood changes. Neuroticism is a chronic level of emotional instability and proneness to psychological distress","","0.526","Emotion Regulation/Reactivity","0.729","Emotional Stability","Yes","Yes"
"Frameworks","Big Five Personality Traits","extraversion","an orientation of one's interests and energies toward the outer world of people and things rather than the inner world of subjective experience; characterized by positive affect and sociability","","0.36","Empathy","0.461","curiosity","Yes","Yes"
"Frameworks","Big Five Personality Traits","agreeableness","the tendency to act in a cooperative, unselfish manner","","0.431","Social Cooperation","0.615","cooperation","Yes","Yes"
"Frameworks","Building Blocks for Learning","academic tenacity","The beliefs and skills that allow students to look beyond short-term concerns to longer-term or higher-order goals, and withstand challenges and setbacks to persevere toward these goals.","","0.502","Perseverance","0.602","resilience","Yes","Yes"
"Frameworks","Building Blocks for Learning","agency","A student’s individual decision-making and autonomous actions.","","0.459","Responsibility for Self & Others","0.786","Sense of Agency","Yes","Yes"
"Frameworks","Building Blocks for Learning","attachment","A deep and enduring emotional bond that connects one person to another across time and space.","","0.868","Attachment","0.614","belonging","Yes","Yes"
"Frameworks","Building Blocks for Learning","civic identity","A multifaceted and dynamic notion of the self as belonging to and responsible for a community or communities.","","0.366","Self-Image","0.623","national and cultural identity","Yes","Yes"
"Frameworks","Building Blocks for Learning","curiosity","The desire to engage and understand the world, interest in a wide variety of things and preference for a complete understanding of a complex topic or problem.","","0.451","Academic Motivation","0.936","curiosity","Yes","Yes"
"Frameworks","Building Blocks for Learning","executive functions","The cognitive control functions needed when one has to concentrate and think, when acting on one’s initial impulse would be ill-advised. Core executive functions include cognitive flexibility, inhibition (self-control, self-regulation) and working memory. More complex executive functions include problem-solving, reasoning and planning.","","0.531","Planning and Organization","0.638","executive functioning","Yes","Yes"
"Frameworks","Building Blocks for Learning","growth mindset","Wherein students ascribe to the belief: my ability and competence grow with my effort.","","0.37","Self-Confidence","0.95","Growth Mindset","Yes","Yes"
"Frameworks","Building Blocks for Learning","self-efficacy","The perception that one can do something successfully.","","0.727","Self-Confidence","0.934","self-efficacy","Yes","Yes"
"Frameworks","Building Blocks for Learning","sense of belonging","A sense that one has a rightful place in a given academic setting and can claim full membership in a classroom community.","","0.504","Attachment","0.885","Sense of Belonging","Yes","Yes"
"Frameworks","Building Blocks for Learning","relevance of school","A student’s sense that the subject matter he or she is studying is interesting and holds value.","","0.451","Academic Motivation","0.54","School Belonging","Yes","Yes"
"Frameworks","Building Blocks for Learning","relationship skills","The ability to establish and maintain healthy and rewarding relationships with diverse individuals and groups. This includes communicating clearly, listening actively, cooperating, resisting inappropriate social pressure, negotiating conflict constructively and seeking and offering help when needed.","","0.396","Social Communication","0.991","relationship skills","Yes","Yes"
"Frameworks","Building Blocks for Learning","resilience","Positive adaptation during or following exposure to adversities that have the potential to harm development: (a) developing well in the context of high cumulative risk for developmental problems (beating the odds, better than predicted development), (b) functioning well under currently-adverse conditions (stress-resistance, coping) and (c) recovery to normal functioning after catastrophic adversity (bouncing back, self-righting) or severe deprivation (normalization).","","0.459","Perseverance","0.943","resilience","Yes","Yes"
"Frameworks","Building Blocks for Learning","self-regulation","Regulation of attention, emotion and executive functions for the purposes of goal-directed actions.","","0.783","Self-Control","0.898","self-regulation","Yes","Yes"
"Frameworks","Building Blocks for Learning","self-awareness","The ability to accurately recognize one’s emotions and thoughts and their influence on behavior. This includes accurately assessing one’s strengths and limitations and possessing a well-grounded sense of confidence and optimism.","","0.626","Self-Image","0.973","self-awareness","Yes","Yes"
"Frameworks","Building Blocks for Learning","social awareness","The ability to take the perspective of, and empathize with, others from diverse backgrounds and cultures, to understand social and ethical norms for behavior, and to recognize family, school and community resources and supports.","","0.602","Social Communication","0.984","social awareness","Yes","Yes"
"Frameworks","Building Blocks for Learning","stress management","Constantly changing cognitive and behavioral efforts to manage specific external and/or internal demands that are appraised as taxing or exceeding the resources of the person.","","0.921","Stress Management","0.833","stress management","Yes","Yes"
"Frameworks","Building Blocks for Learning","self-direction","A process in which learners take the initiative in planning, implementing and evaluating their own learning needs and outcomes, with or without the help of others.","","0.478","Self-Confidence","0.878","Self-Direction","Yes","Yes"
"Frameworks","CASEL","self-awareness","The ability to accurately recognize one’s own emotions, thoughts, and values and how they influence behavior. The ability to accurately assess one’s strengths and limitations, with a well-grounded sense of confidence, optimism, and a “growth mindset.” Identifying emotions Accurate self-perception Recognizing strengths Self-confidence Self-efficacy","","0.655","Self-Image","0.973","self-awareness","Yes","Yes"
"Frameworks","CASEL","self-management","The ability to successfully regulate one’s emotions, thoughts, and behaviors in different situations — effectively managing stress, controlling impulses, and motivating oneself. The ability to set and work toward personal and academic goals. Impulse control Stress management Self-discipline Self-motivation Goal-setting Organizational skills","","0.726","Self-Control","0.913","self-management","Yes","Yes"
"Frameworks","CASEL","social awareness","The ability to take the perspective of and empathize with others, including those from diverse backgrounds and cultures. The ability to understand social and ethical norms for behavior and to recognize family, school, and community resources and supports. Perspective-taking Empathy Appreciating diversity Respect for others","","0.595","Social Communication","0.97","social awareness","Yes","Yes"
"Frameworks","CASEL","relationship skills","The ability to establish and maintain healthy and rewarding relationships with diverse individuals and groups. The ability to communicate clearly, listen well, cooperate with others, resist inappropriate social pressure, negotiate conflict constructively, and seek and offer help when needed. Communication Social engagement Relationship-building Teamwork","","0.439","Social Communication","0.991","relationship skills","Yes","Yes"
"Frameworks","CASEL","responsible decision making","The ability to make constructive choices about personal behavior and social interactions based on ethical standards, safety concerns, and social norms. The realistic evaluation of consequences of various actions, and a consideration of the well-being of oneself and others. Identifying problems Analyzing situations Solving problems Evaluating Reflecting Ethical responsibility","","0.496","Responsibility for Self & Others","0.941","responsible decision making","Yes","Yes"
"Frameworks","Character Lab","curiosity","Curiosity is a strong desire to learn or know something—a search for information for its own sake.","","0.446","Academic Motivation","0.936","curiosity","Yes","Yes"
"Frameworks","Character Lab","gratitiude","Gratitude is the appreciation for the benefits we receive from others, and the desire to reciprocate.","","0.358","Empathy","0.898","gratitiude","Yes","Yes"
